run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.6328522679226485
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.6328522679226485
ces_unemployment_gap_core_baseline_20260709_155601,ces,unemployment_gap_core,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,0.9018653674490784
ces_unemployment_gap_core_full_baseline_20260709_165640,ces,unemployment_gap_core_full,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,0.9018653674490784
ces_unemployment_gap_full_baseline_20260623_032411,ces,unemployment_gap_full,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.6328522679226485
hsa_dynamic_unemployment_gap_baseline_20260702_074535,hsa_dynamic,unemployment_gap,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,2.578373743808047
hsa_dynamic_unemployment_gap_baseline_20260702_074535,hsa_dynamic,unemployment_gap,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,2.0211766984769417
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,2.578373743808047
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,2.0211766984769417
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,2.3985004100282605
