run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_unemployment_gap_core_start_1988_baseline_20260709_165646,ces,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,10.586109632623034
ces_unemployment_gap_start_1988_baseline_20260623_032415,ces,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,5.816272726732918
hsa_dynamic_unemployment_gap_core_start_1988_baseline_20260709_172351,hsa_dynamic,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,11.331884798239871
hsa_dynamic_unemployment_gap_core_start_1988_baseline_20260709_172351,hsa_dynamic,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,2.1232285912583704
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,5.689868086972702
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.8264335307627296
hsa_full_unemployment_gap_core_start_1988_baseline_20260709_173857,hsa_full,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,5.93077799050989
hsa_full_unemployment_gap_core_start_1988_baseline_20260709_173857,hsa_full,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.435580021815893
hsa_full_unemployment_gap_core_start_1988_baseline_20260709_173857,hsa_full,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,1.8488902413118915
hsa_full_unemployment_gap_core_start_1988_baseline_20260709_173857,hsa_full,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9889041521919394
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,4.468876403386316
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.0855013787455323
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.8152034849640025
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,1.0027195492812568
hsa_steady_unemployment_gap_core_start_1988_baseline_20260709_170701,hsa_steady,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,4.59882387319308
hsa_steady_unemployment_gap_core_start_1988_baseline_20260709_170701,hsa_steady,unemployment_gap_core_start_1988,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.145816786017442
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,4.727869156471828
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.1335804823022053
