data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
unemployment_gap_core,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.7546530866052348,0.6731218587529207,0.8329591028399401
unemployment_gap_core,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.0395993103322568,0.0076435301144009,0.0713671974859445
unemployment_gap_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.7939337574874379,0.7147529804118838,0.8732643827167847
unemployment_gap_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.0521687920206904,0.0170154616314423,0.0899500357298182
unemployment_gap_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,0.0227375618508351,0.0093341030808812,0.0391075069545527
unemployment_gap_core,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.7609410607262539,0.6835946404419374,0.8403676451660019
unemployment_gap_core,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.0327645350130259,-0.0021650540905117,0.067958986617635
unemployment_gap_core,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta,-0.0223311793611104,-0.0759244470117733,0.0377242418018207
unemployment_gap_core,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,alpha,0.7913675610479922,0.7080053098415815,0.8721345601937778
unemployment_gap_core,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,kappa_0,0.0617014553839973,0.0208467322828656,0.1013121072703548
unemployment_gap_core,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,delta,0.0249603590464568,0.0072204299349057,0.0423859635344334
unemployment_gap_core,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,theta_0,0.0492252337027532,-0.0275454569916987,0.1291298827379118
unemployment_gap_core,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,gamma,-0.009831253858033,-0.0420604199516159,0.0231212844962309
