data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
unemployment_gap_core,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.7546283320836287,0.6753801023835222,0.831566468902704
unemployment_gap_core,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.039388913470826,0.0067059578390026,0.0721754559831928
unemployment_gap_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.7940524687962334,0.7154665416049725,0.8733692449676499
unemployment_gap_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.0514321228007995,0.015144564916735,0.0879127580174244
unemployment_gap_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,0.0226618624554342,0.0098645226343752,0.0392987693268257
unemployment_gap_core,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.7592142904943675,0.679802603152333,0.8354759578454424
unemployment_gap_core,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.0331090535904011,-0.0024520267905355,0.0682009311932363
unemployment_gap_core,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta,-0.0221250157427517,-0.0761435405311276,0.0346037393635622
unemployment_gap_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,alpha,0.7896529312486469,0.7058233917970136,0.8670215872058642
unemployment_gap_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,kappa_0,0.0615744159406193,0.0216730892343862,0.1014212538555605
unemployment_gap_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,delta,0.0252965648918402,0.0077924470530611,0.0435650682896
unemployment_gap_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,theta_0,0.0393518077460215,-0.0322887923344962,0.1135899464175285
unemployment_gap_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,gamma,-0.0109703053773337,-0.0458820691265783,0.0217934937025594
