data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
unemployment_gap_core,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.6678979995242994,0.3758360656206573,0.9411157985226476
unemployment_gap_core,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.0079989841522199,-0.0692494036071872,0.0859482006274111
unemployment_gap_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.6755637367537204,0.3786811534430427,0.9549322744989324
unemployment_gap_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.0064610934394024,-0.066590176090965,0.0835340389206245
unemployment_gap_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.0014265368757398,-0.0373453341250203,0.0416126052176876
unemployment_gap_core,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.7239358415863291,0.4480245747489671,0.9854745504634502
unemployment_gap_core,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.002334133721153,-0.0632306657475298,0.0691516859859505
unemployment_gap_core,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta,0.106137504241023,-0.2781035342184671,0.489626734479076
unemployment_gap_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.6742812362651381,0.3856631189411131,0.9524998506781116
unemployment_gap_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.0067643119215687,-0.0711052738161251,0.0848181459623422
unemployment_gap_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.0011939152742449,-0.0377875978316995,0.0405483797920839
unemployment_gap_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta_0,0.0922674702956695,-0.2859537049328761,0.4872274705456979
unemployment_gap_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,gamma,0.0002403078956324,-0.0391879251431272,0.0378760107370579
