run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_labor_share_gap_hp_baseline_20260623_110156,ces,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6400678950317326,0.05400269338474416,0.5363178682566423,0.747132589252539,1.0,0.0
ces_labor_share_gap_hp_baseline_20260623_110156,ces,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,-0.008144742216595866,0.08249739653617683,-0.1684975849254133,0.150315080628844,0.46375,0.53625
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6288040715110618,0.05342607153905612,0.5227292671463332,0.7361308435670721,1.0,0.0
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.06273216787082048,0.048536837296383764,0.0019467905414505466,0.18337734996536498,1.0,0.0
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6698791634945499,0.052979536294220815,0.5662073716977606,0.7728994397599013,1.0,0.0
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.13843303110621263,0.04539985654267094,0.04685168135785257,0.22692214727341842,0.99875,0.00125
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6715205529317859,0.05301732146715937,0.5644356208586141,0.776387973793867,1.0,0.0
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.14045342990361617,0.044222608065435945,0.05218480885597522,0.2274281463565052,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_20260623_110526,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6170315114985798,0.05337393519395915,0.5090117836440209,0.7192368553193073,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_20260623_110526,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,-0.003993475814283979,0.0816833908272902,-0.16293731950119986,0.15574399801385483,0.483125,0.516875
hsa_dynamic_labor_share_gap_hp_baseline_20260623_110526,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.016612983597662122,0.2703258207310814,-0.3801808294012493,0.5618608430223654,0.326875,0.673125
hsa_dynamic_labor_share_gap_hp_baseline_20260623_110526,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.8994201236934077,0.12499197262160736,0.6120054272328602,1.112291316965375,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_20260623_110526,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.014691933541538782,0.10589848384088828,-0.17926031711546067,0.24499345262526406,0.5434375,0.4565625
hsa_dynamic_labor_share_gap_hp_baseline_restricted_kappa_20260623_112522,hsa_dynamic,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6095423735710661,0.05291384251337337,0.5046340112896113,0.7145104161493261,1.0,0.0
