parameter,ces / annual_q4,ces / quarterly_interpolated,hsa_steady / annual_q4,hsa_steady / quarterly_interpolated,hsa_dynamic / annual_q4,hsa_dynamic / quarterly_interpolated,hsa_full / annual_q4,hsa_full / quarterly_interpolated
alpha,"0.639 [0.538, 0.742]","0.639 [0.537, 0.740]","0.639 [0.541, 0.742]","0.639 [0.537, 0.744]","0.641 [0.538, 0.744]","0.617 [0.505, 0.719]","0.642 [0.535, 0.747]","0.628 [0.524, 0.730]"
kappa,"0.007 [-0.217, 0.228]","0.009 [-0.217, 0.231]",,,"-0.014 [-0.237, 0.212]","0.008 [-0.224, 0.237]",,
kappa_0,,,"0.005 [-0.215, 0.229]","0.011 [-0.216, 0.238]",,,"0.008 [-0.217, 0.229]","0.007 [-0.219, 0.226]"
delta,,,"-0.001 [-0.038, 0.038]","-0.003 [-0.040, 0.035]",,,"-0.000 [-0.037, 0.038]","-0.003 [-0.039, 0.033]"
theta,,,,,"0.047 [-0.201, 0.348]","-0.039 [-0.354, 0.565]",,
theta_0,,,,,,,"0.045 [-0.148, 0.253]","-0.165 [-0.391, 0.043]"
gamma,,,,,,,"-0.001 [-0.039, 0.036]","-0.004 [-0.041, 0.035]"
rho_1,,,"0.276 [0.066, 0.609]","0.762 [0.395, 1.064]","0.335 [0.067, 0.926]","0.903 [0.630, 1.106]","0.283 [0.085, 0.400]","0.929 [0.698, 1.161]"
rho_2,,,"-0.819 [-0.962, -0.273]","-0.010 [-0.298, 0.253]","-0.703 [-0.955, -0.033]","0.014 [-0.176, 0.236]","-0.879 [-0.966, -0.734]","-0.017 [-0.232, 0.196]"
phi_1,"0.664 [0.530, 0.800]","0.665 [0.534, 0.789]","0.666 [0.535, 0.797]","0.663 [0.528, 0.793]","0.665 [0.530, 0.798]","0.664 [0.541, 0.794]","0.665 [0.530, 0.795]","0.665 [0.536, 0.794]"
lambda_ez,"-0.019 [-0.343, 0.301]","-0.022 [-0.336, 0.295]","-0.019 [-0.339, 0.286]","-0.024 [-0.327, 0.293]",,,"-0.016 [-0.331, 0.289]","-0.031 [-0.339, 0.270]"
n,,,"-0.033 [-0.063, 0.002]","-0.022 [-0.080, 0.038]","-0.029 [-0.062, 0.006]","-0.034 [-0.083, 0.021]","-0.032 [-0.060, -0.004]","-0.042 [-0.093, 0.010]"
