run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_inv_markup_baseline_20260622_163226,ces,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,1.0,0.0
ces_inv_markup_baseline_20260622_163226,ces,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.5203125,0.4796875
hsa_dynamic_inv_markup_baseline_20260622_163558,hsa_dynamic,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,alpha,share,0.6113126851412227,0.05245116048288505,0.5045680338504107,0.7108656847796646,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260622_163558,hsa_dynamic,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,kappa,inflation points per x point,0.010693361152865495,0.1150742233110657,-0.2121243092561632,0.2456773746926854,0.5315625,0.4684375
hsa_dynamic_inv_markup_baseline_20260622_163558,hsa_dynamic,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.0073930306203668075,0.003838097597496358,-9.454606924075737e-05,0.015162867701063152,0.973125,0.026875
hsa_dynamic_inv_markup_baseline_20260622_163558,hsa_dynamic,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.8718076090802998,0.041307134106198344,1.7834788179075776,1.94667305782554,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260622_163558,hsa_dynamic,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.875596595678346,0.04131913637675904,-0.9501540759691874,-0.7866192485681257,0.0,1.0
hsa_full_inv_markup_baseline_20260622_163931,hsa_full,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,alpha,share,0.6181060190605268,0.05309550954294879,0.5152383635175959,0.7260436784262227,1.0,0.0
hsa_full_inv_markup_baseline_20260622_163931,hsa_full,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.11632064469063008,0.19420895046099346,-0.259461720553934,0.4804848514656476,0.724375,0.275625
hsa_full_inv_markup_baseline_20260622_163931,hsa_full,inv_markup,baseline,unrestricted,log100,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.0005596024607713092,0.00115000748966826,-0.0028343784606130813,0.001723579432608351,0.31375,0.68625
