run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6347015286391481,0.051953896427422055,0.5332907338724927,0.7373239187777538,1.0,0.0
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.09235056877766588,0.07057812894947792,0.004013533188700571,0.2627324025581716,1.0,0.0
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6120667771949155,0.057265249289432454,0.49761536856298977,0.7221001138126084,1.0,0.0
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.09300914388880667,0.07103276307030115,0.003505988338471268,0.2627984427125019,1.0,0.0
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.0011101978957659252,0.2807204248546136,-0.3625915964175353,0.6056871417042949,0.3353125,0.6646875
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.8993550668855481,0.12738256508135143,0.6089257209792824,1.1123986318741286,1.0,0.0
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.01444387034201819,0.10460043745585422,-0.19142302376702883,0.22902323288075596,0.5371875,0.4628125
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6023888978615318,0.06006020129732596,0.4853576576948906,0.7182984544617472,1.0,0.0
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.03570528601637563,0.12185201980641705,-0.20969088778752573,0.28277763200616796,0.6128125,0.3871875
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.001961079843739374,0.01947627454378842,-0.040059763899525896,0.03587442892895248,0.465625,0.534375
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.05644121833999453,0.2535583248882742,-0.3799268810511279,0.4719614353299176,0.5446875,0.4553125
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.006052334325692786,0.020110218547863035,-0.04575219016220886,0.03229695448879136,0.385,0.615
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9616061907254473,0.12196400020217633,0.7250782274089219,1.1949449829770349,1.0,0.0
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.03710490468700803,0.11371065060894402,-0.2607989302667288,0.1839441545067541,0.370625,0.629375
hsa_steady_inv_markup_baseline_restricted_kappa_20260622_234857,hsa_steady,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6389539664487901,0.052359668417356404,0.5361709656869622,0.7415473689685155,1.0,0.0
hsa_steady_inv_markup_baseline_restricted_kappa_20260622_234857,hsa_steady,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.01013161502826852,0.11621575744697198,-0.21708973546943536,0.24079387354754123,0.53125,0.46875
hsa_steady_inv_markup_baseline_restricted_kappa_20260622_234857,hsa_steady,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.00312055868067384,0.01893769871053993,-0.03967079794375448,0.03350887635312638,0.4278125,0.5721875
hsa_steady_inv_markup_baseline_restricted_kappa_20260622_234857,hsa_steady,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.7558966841549583,0.1743493540211807,0.3892703666998834,1.067465239324811,1.0,0.0
hsa_steady_inv_markup_baseline_restricted_kappa_20260622_234857,hsa_steady,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.021954618092582333,0.1413697687956271,-0.312698915692531,0.2346745171620922,0.459375,0.540625
