run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_inv_markup_baseline_annual_q4_20260702_132546,ces,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6342404002798551,0.05883234843403645,0.5473848560101239,0.7427868640999529,1.0,0.0
ces_inv_markup_baseline_annual_q4_20260702_132546,ces,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.011648962549321715,0.12378137997088345,-0.2051382524731305,0.30179018459993434,0.55,0.45
hsa_dynamic_inv_markup_baseline_annual_q4_20260702_132551,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6632009117752927,0.05143254105461586,0.5749208322651361,0.7545855588451973,1.0,0.0
hsa_dynamic_inv_markup_baseline_annual_q4_20260702_132551,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,-0.010145434127346947,0.09423946319993476,-0.13881082568240985,0.17933779021387228,0.4,0.6
hsa_dynamic_inv_markup_baseline_annual_q4_20260702_132551,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.10963095462858234,0.22900467643350197,-0.3833665358191663,0.5046505173278547,0.7,0.3
hsa_dynamic_inv_markup_baseline_annual_q4_20260702_132551,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.46955211777838546,0.19488998428575444,0.12314238981349156,0.7307760129059908,1.0,0.0
hsa_dynamic_inv_markup_baseline_annual_q4_20260702_132551,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.2788035975659095,0.1904201493079745,-0.5195809505782653,0.018940192990261662,0.1,0.9
hsa_full_inv_markup_baseline_annual_q4_20260702_132554,hsa_full,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6506939909366837,0.05183510119023728,0.5531390555880733,0.7456248691712114,1.0,0.0
hsa_full_inv_markup_baseline_annual_q4_20260702_132554,hsa_full,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.00853980805320322,0.12264232762937853,-0.21971400682976538,0.27718388101858604,0.425,0.575
hsa_full_inv_markup_baseline_annual_q4_20260702_132554,hsa_full,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.0022252536127538754,0.017015842066857557,-0.019967777202277288,0.03834145003604491,0.45,0.55
hsa_full_inv_markup_baseline_annual_q4_20260702_132554,hsa_full,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.05243911351291751,0.16828380471754248,-0.29906541640871015,0.33161045022857366,0.6,0.4
hsa_full_inv_markup_baseline_annual_q4_20260702_132554,hsa_full,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,0.002068939581175631,0.019410128871844172,-0.024948163946821575,0.040440397437444243,0.5,0.5
hsa_full_inv_markup_baseline_annual_q4_20260702_132554,hsa_full,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.3451484591400269,0.29463865245018567,-0.12350580712426949,0.7883188747638757,0.85,0.15
hsa_full_inv_markup_baseline_annual_q4_20260702_132554,hsa_full,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.493716847812901,0.1917938206511795,-0.76917226139576,-0.15975328476722073,0.0,1.0
hsa_steady_inv_markup_baseline_annual_q4_20260702_132548,hsa_steady,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6563936379765227,0.05465828948921471,0.543908511829491,0.7433696605954505,1.0,0.0
hsa_steady_inv_markup_baseline_annual_q4_20260702_132548,hsa_steady,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,-0.005700307993855566,0.09586468809537989,-0.18147386500966492,0.15920253467066894,0.5,0.5
hsa_steady_inv_markup_baseline_annual_q4_20260702_132548,hsa_steady,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.0014500071131138248,0.020621589959614342,-0.0350614805405827,0.03443989491010795,0.4,0.6
hsa_steady_inv_markup_baseline_annual_q4_20260702_132548,hsa_steady,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.4599894882241701,0.13240680169920493,0.2296614473289842,0.7598289971927638,1.0,0.0
hsa_steady_inv_markup_baseline_annual_q4_20260702_132548,hsa_steady,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.3720388147453078,0.13017160188085836,-0.6048683240868163,-0.16939752753295959,0.0,1.0
