run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,alpha,share,0.6919360573096054,0.055285796823942204,0.5807248945995253,0.7978619854000061,1.0,0.0
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,kappa,inflation points per x point,-0.019790700395393608,0.09908062459638914,-0.21644665710434052,0.17847176627594052,0.4140625,0.5859375
hsa_dynamic_inv_markup_pre_2008_baseline_20260623_020835,hsa_dynamic,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,alpha,share,0.6130469355449661,0.066155762395129,0.483924685521712,0.7455370005900418,1.0,0.0
hsa_dynamic_inv_markup_pre_2008_baseline_20260623_020835,hsa_dynamic,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,kappa,inflation points per x point,0.036152442755041446,0.10914933892224903,-0.1768058710905903,0.24999987952598096,0.6246875,0.3753125
hsa_dynamic_inv_markup_pre_2008_baseline_20260623_020835,hsa_dynamic,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,theta,inflation effect per +10 log-point Nhat deviation,0.3459390281567224,0.31057225427294294,-0.3403305826557396,0.7561522542514338,0.808125,0.191875
hsa_dynamic_inv_markup_pre_2008_baseline_20260623_020835,hsa_dynamic,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,rho_1,AR(2) coefficient,0.8933894882789177,0.11638996868195914,0.6559975145694956,1.120892941329383,1.0,0.0
hsa_dynamic_inv_markup_pre_2008_baseline_20260623_020835,hsa_dynamic,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,rho_2,AR(2) coefficient,0.005352350390724094,0.10548098646049778,-0.19825844289607997,0.21439866891537404,0.506875,0.493125
hsa_full_inv_markup_pre_2008_baseline_20260623_022451,hsa_full,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,alpha,share,0.5897415074735743,0.06694659191901117,0.4585585999087115,0.7200512517207899,1.0,0.0
hsa_full_inv_markup_pre_2008_baseline_20260623_022451,hsa_full,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,kappa_0,inflation points per x point at average Nbar,0.07044186767424103,0.1089337457087551,-0.14299050260019674,0.2814563592526693,0.74125,0.25875
hsa_full_inv_markup_pre_2008_baseline_20260623_022451,hsa_full,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,delta,change in kappa_t per +10 log-point Nbar deviation,-0.004036002692239526,0.019554344543151837,-0.04180948558964602,0.03391498768454578,0.4221875,0.5778125
