run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,1.0,0.0
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.5203125,0.4796875
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6347015286391481,0.051953896427422055,0.5332907338724927,0.7373239187777538,1.0,0.0
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.09235056877766588,0.07057812894947792,0.004013533188700571,0.2627324025581716,1.0,0.0
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6394836519106245,0.05182179181327757,0.5369458091791892,0.7397937248405769,1.0,0.0
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.009499559481792976,0.1141036720082426,-0.21655429377922714,0.23108004367768442,0.535,0.465
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6377181229576433,0.05206264667100707,0.5309906622550574,0.7407558293725667,1.0,0.0
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.010507062320926583,0.11495613893580688,-0.2120079579435999,0.23425157301053817,0.5334375,0.4665625
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,1.0,0.0
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.5203125,0.4796875
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,log100_centered10,2009-03-31,2012-12-31,alpha,share,0.5680463467336565,0.12434746101999514,0.3216123139435793,0.8071847099604004,1.0,0.0
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,log100_centered10,2009-03-31,2012-12-31,kappa,inflation points per x point,0.12159048258784923,0.1849497018894681,-0.23992172859312483,0.48061408865950545,0.745,0.255
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,alpha,share,0.6919360573096054,0.055285796823942204,0.5807248945995253,0.7978619854000061,1.0,0.0
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,1982-03-31,2007-09-30,kappa,inflation points per x point,-0.019790700395393608,0.09908062459638914,-0.21644665710434052,0.17847176627594052,0.4140625,0.5859375
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,log100_centered10,1988-03-31,2012-12-31,alpha,share,0.6218897173886379,0.0611292171521956,0.4971055104636659,0.741619712120775,1.0,0.0
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,log100_centered10,1988-03-31,2012-12-31,kappa,inflation points per x point,0.012395634846036088,0.1268671535508471,-0.23157103155032305,0.2676358774185647,0.5359375,0.4640625
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6149887157508009,0.05510173441825285,0.5038438268234352,0.7198519334198948,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.011536568494128279,0.11760578580171199,-0.21740008220952822,0.2396860752338457,0.53875,0.46125
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.022464662695022664,0.2660384857463863,-0.35889275588246966,0.5774586748401236,0.3078125,0.6921875
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9018099968704851,0.12592354642045764,0.6223366191111397,1.1179212987620473,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.012984572261874293,0.10406369075130457,-0.19007600386186707,0.22122845268558095,0.5325,0.4675
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6120667771949155,0.057265249289432454,0.49761536856298977,0.7221001138126084,1.0,0.0
