parameter,ces,hsa_steady,hsa_dynamic,hsa_full
alpha,"0.639 [0.538, 0.742]","0.639 [0.536, 0.742]","0.615 [0.504, 0.720]","0.602 [0.485, 0.718]"
kappa,"0.007 [-0.217, 0.228]",,"0.012 [-0.217, 0.240]",
kappa_0,,"0.010 [-0.217, 0.241]",,"0.036 [-0.210, 0.283]"
delta,,"-0.003 [-0.040, 0.034]",,"-0.002 [-0.040, 0.036]"
theta,,,"-0.022 [-0.359, 0.577]",
theta_0,,,,"0.056 [-0.380, 0.472]"
gamma,,,,"-0.006 [-0.046, 0.032]"
rho_1,,"0.756 [0.389, 1.067]","0.902 [0.622, 1.118]","0.962 [0.725, 1.195]"
rho_2,,"-0.022 [-0.313, 0.235]","0.013 [-0.190, 0.221]","-0.037 [-0.261, 0.184]"
phi_1,"0.664 [0.530, 0.800]","0.664 [0.536, 0.796]","0.663 [0.532, 0.798]","0.664 [0.529, 0.797]"
lambda_ez,"-0.019 [-0.343, 0.301]","-0.026 [-0.344, 0.288]",,"-0.036 [-0.344, 0.273]"
n,,"-0.022 [-0.083, 0.040]","-0.034 [-0.083, 0.020]","-0.021 [-0.080, 0.041]"
