run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,lambda_ez,shock loading,-0.019179638538188885,0.1609063705415972,-0.34289740229548366,0.3011714709499187
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,phi_1,AR(1) coefficient,0.6643725457825437,0.06776272881261683,0.5298952618442208,0.800348765636538
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,rho,reported physical units,-0.014094688090188389,0.11798142213330165,-0.25007550608692414,0.22077564950612172
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,sigma_e,reported physical units,0.6739679371611993,0.043740034508906504,0.5944340882672123,0.7628816378585345
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,sigma_zeta,reported physical units,0.5001896715245199,0.03208581073703286,0.44173180544333324,0.5693243171002399
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,alpha,share,0.6347015286391481,0.051953896427422055,0.5332907338724927,0.7373239187777538
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,kappa,inflation points per x point,0.09235056877766588,0.07057812894947792,0.004013533188700571,0.2627324025581716
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,lambda_ez,shock loading,-0.09590652495551975,0.13510747573383886,-0.3765037872939462,0.16828373767470017
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,phi_1,AR(1) coefficient,0.6620929309415999,0.0680044052797051,0.5276650035874862,0.7939729127928468
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,rho,reported physical units,-0.07018238028473506,0.09785554787503767,-0.2656950908109511,0.12146515025805327
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,sigma_e,reported physical units,0.6752773196324025,0.044022286351439746,0.5937908625038019,0.7670634965801061
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,sigma_zeta,reported physical units,0.49958456509576993,0.03198390029207765,0.44264681243569065,0.5683589310090871
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,alpha,share,0.6394836519106245,0.05182179181327757,0.5369458091791892,0.7397937248405769
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,kappa,inflation points per x point,0.009499559481792976,0.1141036720082426,-0.21655429377922714,0.23108004367768442
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,lambda_ez,shock loading,-0.021855914970651077,0.15898780939084264,-0.3356372201163804,0.29490317945560124
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,phi_1,AR(1) coefficient,0.665249136668711,0.06515024214325851,0.5344280940466347,0.7894730314683013
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,rho,reported physical units,-0.01581240713269218,0.11529911087649287,-0.24209802974062394,0.21371682314963353
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,sigma_e,reported physical units,0.6765063021257895,0.04368490688353397,0.5986542438487721,0.7711789107223488
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,sigma_zeta,reported physical units,0.4990006426783685,0.03166929458931199,0.4414951920324378,0.5662882156777327
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,alpha,share,0.6377181229576433,0.05206264667100707,0.5309906622550574,0.7407558293725667
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,kappa,inflation points per x point,0.010507062320926583,0.11495613893580688,-0.2120079579435999,0.23425157301053817
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,lambda_ez,shock loading,-0.02086725816815543,0.15801451359915278,-0.3341585512724031,0.28743330952348356
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,phi_1,AR(1) coefficient,0.664988272916407,0.06637215218820362,0.5353367864680291,0.7957808405099455
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,rho,reported physical units,-0.015326006976821792,0.11539153185209676,-0.2394838187011121,0.2094677983220727
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,sigma_e,reported physical units,0.675963173377902,0.04388881826668145,0.5991427348362688,0.7720609129359621
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,sigma_zeta,reported physical units,0.49895924034034606,0.03260639152521465,0.43959666806200903,0.5662711021022712
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,lambda_ez,shock loading,-0.019179638538188885,0.1609063705415972,-0.34289740229548366,0.3011714709499187
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,phi_1,AR(1) coefficient,0.6643725457825437,0.06776272881261683,0.5298952618442208,0.800348765636538
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,rho,reported physical units,-0.014094688090188389,0.11798142213330165,-0.25007550608692414,0.22077564950612172
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,sigma_e,reported physical units,0.6739679371611993,0.043740034508906504,0.5944340882672123,0.7628816378585345
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,sigma_zeta,reported physical units,0.5001896715245199,0.03208581073703286,0.44173180544333324,0.5693243171002399
