run,model,data_spec,prior_spec,constraint_spec,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.8721230398371722
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,kappa=0,inflation points per x point,0.1,0.2,1.8901079260086784
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.9847363673787801
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.9710516530853692
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.8721230398371722
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.0368321694439546
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,2.1323533645187775
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.7767380254755958
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.8765533736694378
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.34599606326784715
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,kappa=0,inflation points per x point,0.1,0.2,1.981060957535275
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.3530719773985942
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.8803492844691603
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.32891500183219474
hsa_dynamic_inv_markup_exclude_covid_baseline_20260623_021205,hsa_dynamic,inv_markup_exclude_covid,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.9085361298762484
hsa_dynamic_inv_markup_exclude_covid_baseline_20260623_021205,hsa_dynamic,inv_markup_exclude_covid,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.35366786965681035
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.8765533736694378
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.34599606326784715
hsa_dynamic_inv_markup_post_2008_baseline_20260623_021132,hsa_dynamic,inv_markup_post_2008,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,0.693869248442699
hsa_dynamic_inv_markup_post_2008_baseline_20260623_021132,hsa_dynamic,inv_markup_post_2008,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.7286999784640413
hsa_dynamic_inv_markup_pre_2008_baseline_20260623_020835,hsa_dynamic,inv_markup_pre_2008,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.9324080819069638
hsa_dynamic_inv_markup_pre_2008_baseline_20260623_020835,hsa_dynamic,inv_markup_pre_2008,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.044945894936091295
hsa_dynamic_inv_markup_start_1988_baseline_20260623_021536,hsa_dynamic,inv_markup_start_1988,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.7399648889754071
hsa_dynamic_inv_markup_start_1988_baseline_20260623_021536,hsa_dynamic,inv_markup_start_1988,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.8376573560652454
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.7586531346691845
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.9923413446986392
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.45489937623401727
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9570727022414801
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.7586531346691845
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.9923413446986392
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.45489937623401727
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9570727022414801
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.9235617720482432
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.0576430940591006
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.5718481113470611
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9376617515003596
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.53908220826412
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.0075288846400703
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.04768425246957831
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9916419012911738
hsa_full_inv_markup_full_baseline_20260623_022157,hsa_full,inv_markup_full,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.7586531346691845
hsa_full_inv_markup_full_baseline_20260623_022157,hsa_full,inv_markup_full,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.9923413446986392
hsa_full_inv_markup_full_baseline_20260623_022157,hsa_full,inv_markup_full,baseline,unrestricted,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.45489937623401727
