run,model,data_spec,prior_spec,constraint_spec,coefficient,time_index,posterior_mean,ci_2.5,ci_97.5
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,0,0.035072521801611585,-0.22010911570806022,0.28749422006752823
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,5,0.0355092566177918,-0.21491648511075284,0.28441270661464857
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,11,0.034693056657098965,-0.21264253182411474,0.27992009566083426
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,16,0.03311583753650492,-0.2140665150335008,0.2790927663944227
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,21,0.03321835980577218,-0.21893645904201622,0.2804052280901501
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,27,0.0334443711466668,-0.22069738732286442,0.2822016220003155
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,32,0.033511420669466205,-0.21728612604716363,0.2815763450355938
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,37,0.03352812544501886,-0.21663048224696788,0.2818839365453285
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,43,0.033305122021345626,-0.21644198553746294,0.28258715673955703
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,48,0.032982394118979214,-0.21574120685523265,0.2862729295127726
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,53,0.03286796158024699,-0.21674375961016007,0.28497858702017137
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,59,0.03320946504950445,-0.21764871943267278,0.283956349990952
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,64,0.03397391336951773,-0.2147419685813359,0.28105012537818774
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,70,0.035321148620602615,-0.20925523283852476,0.2836894943880193
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,75,0.03658333118517382,-0.20520531338784054,0.2840208633235522
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,80,0.0374386131542221,-0.20837256353167768,0.2929476473112243
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,86,0.03758430085923192,-0.20859453959923077,0.2898492165264536
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,91,0.038139327180080146,-0.2096532075961068,0.29081020780279565
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,96,0.038323809901441706,-0.2100960840146013,0.29375971457997563
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,102,0.039227442984986934,-0.2146957147913408,0.29787696425790033
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,107,0.03985611587932504,-0.21489283686887253,0.2993325215106935
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,112,0.039953866250806006,-0.21776052079938354,0.2985074492825257
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,118,0.040612931106737055,-0.22199423359610543,0.30278455882812444
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_t,123,0.04084040040033621,-0.22614643426655245,0.30724264725120104
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,0,0.05336822147872466,-0.3811523397335808,0.47719729747777573
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,5,0.05453704658181769,-0.38010541026267897,0.47796296683935524
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,11,0.05280871126749553,-0.3834376566166041,0.4760796215944204
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,16,0.04982683099538747,-0.385993866560977,0.4698535798041789
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,21,0.04920146114708451,-0.3830900797354274,0.47077976646909536
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,27,0.049542761653931004,-0.3836900539991144,0.4698137362063197
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,32,0.04983552617380676,-0.3856668776123155,0.47581338593574113
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,37,0.05035956375136374,-0.3840028387563443,0.4761485201359995
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,43,0.049614325087810496,-0.3847242528113938,0.4715809911988588
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,48,0.04930741548774335,-0.3839398222542168,0.4763740449756545
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,53,0.049812887398798085,-0.385524441249913,0.47598792148113006
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,59,0.050923304846675885,-0.3870040879191565,0.4721825028872207
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,64,0.053732092329659836,-0.38195788762080274,0.46907102260945466
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,70,0.0563967405232788,-0.37864226782248794,0.4711818245094488
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,75,0.05836972280387069,-0.38496857424353625,0.47506708763059124
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,80,0.06036454496133176,-0.38855797447517937,0.4765710753949716
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,86,0.06046261741747957,-0.3901514013055042,0.47671470403658306
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,91,0.06172770200645832,-0.39627791356282754,0.47550548130634634
