run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.006727227891079419,-0.2170562420467619,0.22833437198069473,,,,,,,,,
ces_inv_markup_baseline_20260702_134314,ces,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.006727227891079419,-0.2170562420467619,0.22833437198069473,,,,,,,,,
ces_inv_markup_baseline_annual_q4_20260702_151738,ces,inv_markup,baseline,unrestricted,log100_centered10,annual_q4,0.006727227891079419,-0.2170562420467619,0.22833437198069473,,,,,,,,,
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.09235056877766588,0.004013533188700571,0.2627324025581716,,,,,,,,,
ces_inv_markup_end_2019_baseline_20260623_014852,ces,inv_markup_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.009499559481792976,-0.21655429377922714,0.23108004367768442,,,,,,,,,
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.010507062320926583,-0.2120079579435999,0.23425157301053817,,,,,,,,,
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.006727227891079419,-0.2170562420467619,0.22833437198069473,,,,,,,,,
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.12159048258784923,-0.23992172859312483,0.48061408865950545,,,,,,,,,
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,-0.019790700395393608,-0.21644665710434052,0.17847176627594052,,,,,,,,,
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.012395634846036088,-0.23157103155032305,0.2676358774185647,,,,,,,,,
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,-0.008144742216595866,-0.1684975849254133,0.150315080628844,,,,,,,,,
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,-0.008144742216595866,-0.1684975849254133,0.150315080628844,,,,,,,,,
ces_labor_share_gap_hp_baseline_annual_q4_20260702_194948,ces,labor_share_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,-0.008144742216595866,-0.1684975849254133,0.150315080628844,,,,,,,,,
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.06273216787082048,0.0019467905414505466,0.18337734996536498,,,,,,,,,
ces_output_gap_bn_baseline_20260702_071122,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05862516366126078,-0.024998506197154782,0.14404070449646755,,,,,,,,,
ces_output_gap_bn_baseline_20260702_140212,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05862516366126078,-0.024998506197154782,0.14404070449646755,,,,,,,,,
ces_output_gap_bn_baseline_annual_q4_20260702_193026,ces,output_gap_bn,baseline,unrestricted,log100_centered10,annual_q4,0.05862516366126078,-0.024998506197154782,0.14404070449646755,,,,,,,,,
ces_output_gap_bn_baseline_restricted_kappa_20260622_235858,ces,output_gap_bn,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.0674738969617655,0.006923544519125853,0.1469016946518635,,,,,,,,,
ces_output_gap_bn_core_baseline_20260709_162634,ces,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03172285402094013,-0.017029349656504225,0.0808920938464345,,,,,,,,,
ces_output_gap_bn_core_baseline_annual_q4_20260709_150606,ces,output_gap_bn_core,baseline,unrestricted,log100_centered10,annual_q4,0.03172285402094013,-0.017029349656504225,0.0808920938464345,,,,,,,,,
ces_output_gap_bn_core_baseline_restricted_kappa_20260709_152559,ces,output_gap_bn_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.03669266668146337,0.002987393707768616,0.08165019177090155,,,,,,,,,
ces_output_gap_bn_core_baseline_restricted_kappa_t_20260709_154602,ces,output_gap_bn_core,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,0.03172285402094013,-0.017029349656504225,0.0808920938464345,,,,,,,,,
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03208994918909443,-0.01526834655579968,0.0796425226170681,,,,,,,,,
ces_output_gap_bn_core_exclude_covid_baseline_20260709_174418,ces,output_gap_bn_core_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03256071527770785,-0.015097241723824496,0.08063670212370432,,,,,,,,,
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03172285402094013,-0.017029349656504225,0.0808920938464345,,,,,,,,,
ces_output_gap_bn_core_post_2008_baseline_20260709_174417,ces,output_gap_bn_core_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.01811519055220831,-0.12732757537626777,0.16739441122863014,,,,,,,,,
ces_output_gap_bn_core_pre_2008_baseline_20260709_174416,ces,output_gap_bn_core_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.039036599790374875,-0.025118508166455982,0.10293691430526447,,,,,,,,,
ces_output_gap_bn_core_start_1988_baseline_20260709_174419,ces,output_gap_bn_core_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.027868200832839526,-0.02041566476207488,0.07922451037052688,,,,,,,,,
ces_output_gap_bn_end_2019_baseline_20260623_023555,ces,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.059095515694493755,-0.023746096326356388,0.1417853705469095,,,,,,,,,
ces_output_gap_bn_exclude_covid_baseline_20260623_023553,ces,output_gap_bn_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.060043410752758604,-0.02471014695604393,0.14347596335895582,,,,,,,,,
ces_output_gap_bn_full_baseline_20260623_023550,ces,output_gap_bn_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05862516366126078,-0.024998506197154782,0.14404070449646755,,,,,,,,,
ces_output_gap_bn_post_2008_baseline_20260623_023552,ces,output_gap_bn_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.17069103534370103,-0.04975121302829965,0.383900490865745,,,,,,,,,
ces_output_gap_bn_pre_2008_baseline_20260623_023551,ces,output_gap_bn_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.050259889375578265,-0.04157448083202693,0.14192143651847552,,,,,,,,,
ces_output_gap_bn_start_1988_baseline_20260623_023554,ces,output_gap_bn_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.08342330284110848,-0.016133170490845325,0.18597653545997175,,,,,,,,,
ces_output_gap_hp_baseline_20260702_071124,ces,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13843303110621263,0.04685168135785257,0.22692214727341842,,,,,,,,,
ces_output_gap_hp_baseline_20260702_142102,ces,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13843303110621263,0.04685168135785257,0.22692214727341842,,,,,,,,,
ces_output_gap_hp_baseline_annual_q4_20260702_194008,ces,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,0.13843303110621263,0.04685168135785257,0.22692214727341842,,,,,,,,,
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.14045342990361617,0.05218480885597522,0.2274281463565052,,,,,,,,,
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05560944809156388,-0.0075453006734305566,0.11996745083885063,,,,,,,,,
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05560944809156388,-0.0075453006734305566,0.11996745083885063,,,,,,,,,
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,0.05560944809156388,-0.0075453006734305566,0.11996745083885063,,,,,,,,,
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.0584822924897016,0.007381556651343492,0.12131942027097344,,,,,,,,,
ces_unemployment_gap_core_baseline_20260709_155601,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03938891347082609,0.006705957839002623,0.0721754559831928,,,,,,,,,
ces_unemployment_gap_core_baseline_annual_q4_20260709_145610,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,0.03938891347082609,0.006705957839002623,0.0721754559831928,,,,,,,,,
ces_unemployment_gap_core_baseline_restricted_kappa_20260709_151600,ces,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.03986532251462647,0.00818332897686523,0.07208620361343646,,,,,,,,,
ces_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153555,ces,unemployment_gap_core,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,0.03938891347082609,0.006705957839002623,0.0721754559831928,,,,,,,,,
ces_unemployment_gap_core_end_2019_baseline_20260709_165647,ces,unemployment_gap_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03959931033225685,0.007643530114400914,0.0713671974859445,,,,,,,,,
ces_unemployment_gap_core_exclude_covid_baseline_20260709_165645,ces,unemployment_gap_core_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03995217934196627,0.007688561768775091,0.07154994103474877,,,,,,,,,
ces_unemployment_gap_core_full_baseline_20260709_165640,ces,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03938891347082609,0.006705957839002623,0.0721754559831928,,,,,,,,,
ces_unemployment_gap_core_post_2008_baseline_20260709_165644,ces,unemployment_gap_core_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.007998984152219984,-0.06924940360718723,0.08594820062741111,,,,,,,,,
ces_unemployment_gap_core_pre_2008_baseline_20260709_165643,ces,unemployment_gap_core_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.09900863452556383,0.04526144966529406,0.1521124972461727,,,,,,,,,
ces_unemployment_gap_core_start_1988_baseline_20260709_165646,ces,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.011590255005420505,-0.020478397574656942,0.044553259349742864,,,,,,,,,
