run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6288040715110618,0.05342607153905612,0.5227292671463332,0.7361308435670721,1.0,0.0
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.06273216787082048,0.048536837296383764,0.0019467905414505466,0.18337734996536498,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_restricted_kappa_20260623_112522,hsa_dynamic,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6095423735710661,0.05291384251337337,0.5046340112896113,0.7145104161493261,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_restricted_kappa_20260623_112522,hsa_dynamic,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.06433099512837182,0.049462680957597566,0.0021097540392582444,0.18402471501043374,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_restricted_kappa_20260623_112522,hsa_dynamic,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.05983697103457338,0.24579245138326045,-0.3802116209055078,0.5407398677258016,0.2525,0.7475
hsa_dynamic_labor_share_gap_hp_baseline_restricted_kappa_20260623_112522,hsa_dynamic,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9054396081030132,0.12342141844333739,0.6339263117906352,1.121024544717124,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_restricted_kappa_20260623_112522,hsa_dynamic,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.011170420305628608,0.10538995682753026,-0.19457827067824957,0.2312320682760871,0.5240625,0.4759375
hsa_full_labor_share_gap_hp_baseline_restricted_kappa_20260623_112854,hsa_full,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.587055852397231,0.05603727463596754,0.47983629802634065,0.6985463747304234,1.0,0.0
hsa_full_labor_share_gap_hp_baseline_restricted_kappa_20260623_112854,hsa_full,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,-0.002926819452816327,0.08327482638867173,-0.1645576570229638,0.16363453228272892,0.479375,0.520625
hsa_full_labor_share_gap_hp_baseline_restricted_kappa_20260623_112854,hsa_full,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.00898595499932799,0.018590352223579482,-0.02661411196261599,0.044495664323716724,0.6834375,0.3165625
hsa_full_labor_share_gap_hp_baseline_restricted_kappa_20260623_112854,hsa_full,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.2437113067707368,0.11061149518285414,0.067586939458212,0.47656072229954227,0.998125,0.001875
hsa_full_labor_share_gap_hp_baseline_restricted_kappa_20260623_112854,hsa_full,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.006440799318898382,0.019934474956202087,-0.04490673290797266,0.03368404637077585,0.369375,0.630625
hsa_full_labor_share_gap_hp_baseline_restricted_kappa_20260623_112854,hsa_full,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9860114088961232,0.1138610713100253,0.7672356355801592,1.2031157681211277,1.0,0.0
hsa_full_labor_share_gap_hp_baseline_restricted_kappa_20260623_112854,hsa_full,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.041335427991624894,0.10991435790412608,-0.25236844366247496,0.16801697572845276,0.3553125,0.6446875
hsa_steady_labor_share_gap_hp_baseline_restricted_kappa_20260623_112158,hsa_steady,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6395339882822642,0.052940960215293285,0.5369238874215727,0.7421268917893367,1.0,0.0
hsa_steady_labor_share_gap_hp_baseline_restricted_kappa_20260623_112158,hsa_steady,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,-0.005810197263696932,0.08398164907454428,-0.17271070531934202,0.15733401507644273,0.468125,0.531875
hsa_steady_labor_share_gap_hp_baseline_restricted_kappa_20260623_112158,hsa_steady,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.01564281844357553,0.018159968484682345,-0.020412416177243223,0.049964547915125605,0.799375,0.200625
hsa_steady_labor_share_gap_hp_baseline_restricted_kappa_20260623_112158,hsa_steady,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.7435597525614522,0.17441721631845755,0.3704441934606381,1.0505769136011858,1.0,0.0
hsa_steady_labor_share_gap_hp_baseline_restricted_kappa_20260623_112158,hsa_steady,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.025661534106749682,0.14102192145800896,-0.30926032430035943,0.23913982258400318,0.4425,0.5575
