run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_labor_share_gap_hp_baseline_annual_q4_20260702_132614,ces,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6342515934453365,0.06089169351892732,0.5533908467610666,0.7341669245682174,1.0,0.0
ces_labor_share_gap_hp_baseline_annual_q4_20260702_132614,ces,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,-0.005599430253541796,0.08700462075852093,-0.16148535773765058,0.17718627049824306,0.45,0.55
hsa_dynamic_labor_share_gap_hp_baseline_annual_q4_20260702_132617,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6612388993407192,0.05655433816601543,0.5510082577369702,0.7566386911430358,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_annual_q4_20260702_132617,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,-0.019461515015624032,0.06313423624781679,-0.10812787062743177,0.1040024875352982,0.275,0.725
hsa_dynamic_labor_share_gap_hp_baseline_annual_q4_20260702_132617,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.1407345926010176,0.2092721877289178,-0.20740813441746922,0.500621954248341,0.8,0.2
hsa_dynamic_labor_share_gap_hp_baseline_annual_q4_20260702_132617,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.5156715028012193,0.15758007111934835,0.2580653939819933,0.7614333381759625,1.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_annual_q4_20260702_132617,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.3213002201046306,0.23507323738106092,-0.6378823001094265,0.020642581625869794,0.05,0.95
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_132621,hsa_full,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6451974277806425,0.053215055204581155,0.5529984552668699,0.7506613703132311,1.0,0.0
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_132621,hsa_full,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,-0.006313227300112158,0.09415594134470971,-0.16928929280716382,0.19763583568788629,0.4,0.6
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_132621,hsa_full,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.02058433287419811,0.01612697250693116,-0.00269235010028827,0.05756574704442629,0.95,0.05
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_132621,hsa_full,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.042258703688432236,0.16300498347829848,-0.30572226867010177,0.30924568130773217,0.55,0.45
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_132621,hsa_full,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,0.0020026175270041135,0.019356625231422467,-0.0251135849073682,0.04090176521791296,0.5,0.5
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_132621,hsa_full,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.3471648362159846,0.29131093184205376,-0.04085951247181446,0.8286611293181931,0.875,0.125
hsa_full_labor_share_gap_hp_baseline_annual_q4_20260702_132621,hsa_full,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.49518567432090965,0.20145526179373946,-0.792542770430168,-0.13984704916392915,0.0,1.0
hsa_steady_labor_share_gap_hp_baseline_annual_q4_20260702_132614,hsa_steady,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6584821175388015,0.054476358749708,0.5497909863278421,0.7512194583596612,1.0,0.0
hsa_steady_labor_share_gap_hp_baseline_annual_q4_20260702_132614,hsa_steady,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,-0.02235470822436083,0.06444651578603766,-0.13790113554325006,0.09058005780438319,0.4,0.6
hsa_steady_labor_share_gap_hp_baseline_annual_q4_20260702_132614,hsa_steady,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.01867004907195896,0.01911738925640702,-0.014458101246377713,0.05423574017548339,0.825,0.175
hsa_steady_labor_share_gap_hp_baseline_annual_q4_20260702_132614,hsa_steady,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.30922762355989303,0.11998831869166246,0.14090024235425588,0.5110913179602048,1.0,0.0
hsa_steady_labor_share_gap_hp_baseline_annual_q4_20260702_132614,hsa_steady,labor_share_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.4128659418141828,0.19075858187443218,-0.7176635508149721,-0.11693361899153241,0.0,1.0
