run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,alpha,share,0.6400678950317326,0.05400269338474416,0.5363178682566423,0.747132589252539
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,kappa,inflation points per x point,-0.008144742216595866,0.08249739653617683,-0.1684975849254133,0.150315080628844
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,lambda_ez,shock loading,0.009918434470905386,0.10624592678576984,-0.20230766340625675,0.21775492794880913
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,phi_1,AR(1) coefficient,0.6319559416468237,0.06858392158572515,0.49781849050887883,0.7679106659956529
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,rho,reported physical units,0.012602366392262141,0.13404165419836006,-0.25415739680321126,0.27555807272114435
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,sigma_e,reported physical units,0.6758657174338845,0.044390829634783247,0.5958038658876884,0.7685752923783893
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,sigma_zeta,reported physical units,0.868051288980707,0.0556878712364157,0.7665415104518193,0.9883731013325373
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,alpha,share,0.6400678950317326,0.05400269338474416,0.5363178682566423,0.747132589252539
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,kappa,inflation points per x point,-0.008144742216595866,0.08249739653617683,-0.1684975849254133,0.150315080628844
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,lambda_ez,shock loading,0.009918434470905386,0.10624592678576984,-0.20230766340625675,0.21775492794880913
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,phi_1,AR(1) coefficient,0.6319559416468237,0.06858392158572515,0.49781849050887883,0.7679106659956529
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,rho,reported physical units,0.012602366392262141,0.13404165419836006,-0.25415739680321126,0.27555807272114435
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,sigma_e,reported physical units,0.6758657174338845,0.044390829634783247,0.5958038658876884,0.7685752923783893
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,sigma_zeta,reported physical units,0.868051288980707,0.0556878712364157,0.7665415104518193,0.9883731013325373
ces_labor_share_gap_hp_baseline_annual_q4_20260702_194948,ces,labor_share_gap_hp,baseline,unrestricted,alpha,share,0.6400678950317326,0.05400269338474416,0.5363178682566423,0.747132589252539
ces_labor_share_gap_hp_baseline_annual_q4_20260702_194948,ces,labor_share_gap_hp,baseline,unrestricted,kappa,inflation points per x point,-0.008144742216595866,0.08249739653617683,-0.1684975849254133,0.150315080628844
ces_labor_share_gap_hp_baseline_annual_q4_20260702_194948,ces,labor_share_gap_hp,baseline,unrestricted,lambda_ez,shock loading,0.009918434470905386,0.10624592678576984,-0.20230766340625675,0.21775492794880913
ces_labor_share_gap_hp_baseline_annual_q4_20260702_194948,ces,labor_share_gap_hp,baseline,unrestricted,phi_1,AR(1) coefficient,0.6319559416468237,0.06858392158572515,0.49781849050887883,0.7679106659956529
ces_labor_share_gap_hp_baseline_annual_q4_20260702_194948,ces,labor_share_gap_hp,baseline,unrestricted,rho,reported physical units,0.012602366392262141,0.13404165419836006,-0.25415739680321126,0.27555807272114435
ces_labor_share_gap_hp_baseline_annual_q4_20260702_194948,ces,labor_share_gap_hp,baseline,unrestricted,sigma_e,reported physical units,0.6758657174338845,0.044390829634783247,0.5958038658876884,0.7685752923783893
ces_labor_share_gap_hp_baseline_annual_q4_20260702_194948,ces,labor_share_gap_hp,baseline,unrestricted,sigma_zeta,reported physical units,0.868051288980707,0.0556878712364157,0.7665415104518193,0.9883731013325373
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,alpha,share,0.6288040715110618,0.05342607153905612,0.5227292671463332,0.7361308435670721
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,kappa,inflation points per x point,0.06273216787082048,0.048536837296383764,0.0019467905414505466,0.18337734996536498
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,lambda_ez,shock loading,-0.058675088620664326,0.08294699161500751,-0.2288731307263497,0.09847440445815074
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,phi_1,AR(1) coefficient,0.6316335463556496,0.06751128459472529,0.49845177194645235,0.7634205780199113
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,rho,reported physical units,-0.07435429206847721,0.1044680409470815,-0.2825420497992515,0.12276295715677152
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,sigma_e,reported physical units,0.6765659149034127,0.04342057532520815,0.5953107700010539,0.7664597805506981
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,sigma_zeta,reported physical units,0.8665892016970389,0.056982099054031836,0.7619814888958983,0.9853759112222967
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,Nbar,reported physical units,0.46682160338023243,1.9694294434217918,-2.8797186087402857,3.991269761418053
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,Nhat,reported physical units,-0.46684579319893,1.3476608813210362,-4.1441478731860295,1.553115825658646
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,Sigma,reported physical units,0.07379166778735946,0.1998365276423045,-0.048225366160424804,0.7353089670016613
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,alpha,share,0.6372843168699583,0.05099450103844614,0.5340091898305104,0.7368719743028879
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,corr_e_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,corr_e_u,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,corr_e_zeta,reported physical units,0.025062256520779744,0.13477382167840357,-0.23708353759265824,0.2884598433080071
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,corr_u_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,kappa,inflation points per x point,-0.0025386918122451384,0.0823272500189783,-0.16433147668149933,0.15677219310255278
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,n,Nbar drift in ten-log-point units,-0.05281620690816619,0.010414385466367991,-0.0710529168307724,-0.030400255525023054
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,phi_1,AR(1) coefficient,0.6329364944112096,0.06712837922579437,0.5034394465626345,0.7637586271156908
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,rho_1,AR(2) coefficient,1.7671175873324594,0.05234876708288195,1.6573598899248712,1.865312187581106
