run,model,data_spec,prior_spec,constraint_spec,n_transform,parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
ces_inv_markup_baseline_20260622_215629,ces,inv_markup,baseline,unrestricted,log100_centered10,alpha,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,0.0009241353164965566,3200.0,3200.0,1.00017968540934,
ces_inv_markup_baseline_20260622_215629,ces,inv_markup,baseline,unrestricted,log100_centered10,kappa,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.0021133951641815114,2943.0685581682365,2898.5494433217236,0.9996944129405855,
ces_inv_markup_baseline_20260622_215629,ces,inv_markup,baseline,unrestricted,log100_centered10,phi_1,0.6643725457825437,0.06776272881261683,0.5298952618442208,0.800348765636538,0.0011978871263776602,3200.0,3034.041573635792,0.9998787179499302,
ces_inv_markup_baseline_20260622_215629,ces,inv_markup,baseline,unrestricted,log100_centered10,lambda_ez,-0.019179638538188885,0.1609063705415972,-0.34289740229548366,0.3011714709499187,0.0029193689697549177,3037.8652259627365,3126.610343245398,0.9997275160864412,
ces_inv_markup_baseline_20260622_215629,ces,inv_markup,baseline,unrestricted,log100_centered10,rho,-0.014094688090188389,0.11798142213330165,-0.25007550608692414,0.22077564950612172,0.0021281687739425482,3073.3719296238,3200.0,0.9997678451246319,
ces_inv_markup_baseline_20260622_215629,ces,inv_markup,baseline,unrestricted,log100_centered10,sigma_e,0.6739679371611993,0.043740034508906504,0.5944340882672123,0.7628816378585345,0.0007732218752645347,3200.0,2772.586872857237,0.999858008180377,
ces_inv_markup_baseline_20260622_215629,ces,inv_markup,baseline,unrestricted,log100_centered10,sigma_zeta,0.5001896715245199,0.03208581073703286,0.44173180544333324,0.5693243171002399,0.0006258470296952643,2628.389018761059,2721.0327240523384,0.999765514939883,
ces_inv_markup_baseline_20260622_231916,ces,inv_markup,baseline,unrestricted,log100_centered10,alpha,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,0.0009241353164965566,3200.0,3200.0,1.00017968540934,
ces_inv_markup_baseline_20260622_231916,ces,inv_markup,baseline,unrestricted,log100_centered10,kappa,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.0021133951641815114,2943.0685581682365,2898.5494433217236,0.9996944129405855,
ces_inv_markup_baseline_20260622_231916,ces,inv_markup,baseline,unrestricted,log100_centered10,phi_1,0.6643725457825437,0.06776272881261683,0.5298952618442208,0.800348765636538,0.0011978871263776602,3200.0,3034.041573635792,0.9998787179499302,
ces_inv_markup_baseline_20260622_231916,ces,inv_markup,baseline,unrestricted,log100_centered10,lambda_ez,-0.019179638538188885,0.1609063705415972,-0.34289740229548366,0.3011714709499187,0.0029193689697549177,3037.8652259627365,3126.610343245398,0.9997275160864412,
ces_inv_markup_baseline_20260622_231916,ces,inv_markup,baseline,unrestricted,log100_centered10,rho,-0.014094688090188389,0.11798142213330165,-0.25007550608692414,0.22077564950612172,0.0021281687739425482,3073.3719296238,3200.0,0.9997678451246319,
ces_inv_markup_baseline_20260622_231916,ces,inv_markup,baseline,unrestricted,log100_centered10,sigma_e,0.6739679371611993,0.043740034508906504,0.5944340882672123,0.7628816378585345,0.0007732218752645347,3200.0,2772.586872857237,0.999858008180377,
ces_inv_markup_baseline_20260622_231916,ces,inv_markup,baseline,unrestricted,log100_centered10,sigma_zeta,0.5001896715245199,0.03208581073703286,0.44173180544333324,0.5693243171002399,0.0006258470296952643,2628.389018761059,2721.0327240523384,0.999765514939883,
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,alpha,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,0.0009241353164965566,3200.0,3200.0,1.00017968540934,
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,kappa,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.0021133951641815114,2943.0685581682365,2898.5494433217236,0.9996944129405855,
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,phi_1,0.6643725457825437,0.06776272881261683,0.5298952618442208,0.800348765636538,0.0011978871263776602,3200.0,3034.041573635792,0.9998787179499302,
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,lambda_ez,-0.019179638538188885,0.1609063705415972,-0.34289740229548366,0.3011714709499187,0.0029193689697549177,3037.8652259627365,3126.610343245398,0.9997275160864412,
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,rho,-0.014094688090188389,0.11798142213330165,-0.25007550608692414,0.22077564950612172,0.0021281687739425482,3073.3719296238,3200.0,0.9997678451246319,
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,sigma_e,0.6739679371611993,0.043740034508906504,0.5944340882672123,0.7628816378585345,0.0007732218752645347,3200.0,2772.586872857237,0.999858008180377,
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,sigma_zeta,0.5001896715245199,0.03208581073703286,0.44173180544333324,0.5693243171002399,0.0006258470296952643,2628.389018761059,2721.0327240523384,0.999765514939883,
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,alpha,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,0.0009241353164965566,3200.0,3200.0,1.00017968540934,
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,kappa,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.0021133951641815114,2943.0685581682365,2898.5494433217236,0.9996944129405855,
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,phi_1,0.6643725457825437,0.06776272881261683,0.5298952618442208,0.800348765636538,0.0011978871263776602,3200.0,3034.041573635792,0.9998787179499302,
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,lambda_ez,-0.019179638538188885,0.1609063705415972,-0.34289740229548366,0.3011714709499187,0.0029193689697549177,3037.8652259627365,3126.610343245398,0.9997275160864412,
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,rho,-0.014094688090188389,0.11798142213330165,-0.25007550608692414,0.22077564950612172,0.0021281687739425482,3073.3719296238,3200.0,0.9997678451246319,
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,sigma_e,0.6739679371611993,0.043740034508906504,0.5944340882672123,0.7628816378585345,0.0007732218752645347,3200.0,2772.586872857237,0.999858008180377,
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,sigma_zeta,0.5001896715245199,0.03208581073703286,0.44173180544333324,0.5693243171002399,0.0006258470296952643,2628.389018761059,2721.0327240523384,0.999765514939883,
ces_inv_markup_baseline_restricted_kappa_20260622_223933,ces,inv_markup,baseline,restricted_kappa,log100_centered10,alpha,0.6347015286391481,0.051953896427422055,0.5332907338724927,0.7373239187777538,0.000918423811822342,3200.0,2966.970217699057,0.9997045736642398,
ces_inv_markup_baseline_restricted_kappa_20260622_223933,ces,inv_markup,baseline,restricted_kappa,log100_centered10,kappa,0.09235056877766588,0.07057812894947792,0.004013533188700571,0.2627324025581716,0.0012829534918464896,3026.345138844654,3132.5661185196386,1.000211457749789,
ces_inv_markup_baseline_restricted_kappa_20260622_223933,ces,inv_markup,baseline,restricted_kappa,log100_centered10,phi_1,0.6620929309415999,0.0680044052797051,0.5276650035874862,0.7939729127928468,0.0012551954237587125,2935.292598089571,3033.3229786072184,0.9998714787506106,
ces_inv_markup_baseline_restricted_kappa_20260622_223933,ces,inv_markup,baseline,restricted_kappa,log100_centered10,lambda_ez,-0.09590652495551975,0.13510747573383886,-0.3765037872939462,0.16828373767470017,0.002682577724297292,2536.612521998036,3200.0,0.9998690006351701,
ces_inv_markup_baseline_restricted_kappa_20260622_223933,ces,inv_markup,baseline,restricted_kappa,log100_centered10,rho,-0.07018238028473506,0.09785554787503767,-0.2656950908109511,0.12146515025805327,0.0017518873083770031,3120.0285845866665,3200.0,0.9998530939177998,
ces_inv_markup_baseline_restricted_kappa_20260622_223933,ces,inv_markup,baseline,restricted_kappa,log100_centered10,sigma_e,0.6752773196324025,0.044022286351439746,0.5937908625038019,0.7670634965801061,0.000778211430060976,3200.0,3081.3635639167464,0.9999771125102498,
ces_inv_markup_baseline_restricted_kappa_20260622_223933,ces,inv_markup,baseline,restricted_kappa,log100_centered10,sigma_zeta,0.49958456509576993,0.03198390029207765,0.44264681243569065,0.5683589310090871,0.0005840185170972019,2999.2288938885245,2759.7366184007265,0.9999506830945905,
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,alpha,0.6347015286391481,0.051953896427422055,0.5332907338724927,0.7373239187777538,0.000918423811822342,3200.0,2966.970217699057,0.9997045736642398,
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,kappa,0.09235056877766588,0.07057812894947792,0.004013533188700571,0.2627324025581716,0.0012829534918464896,3026.345138844654,3132.5661185196386,1.000211457749789,
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,phi_1,0.6620929309415999,0.0680044052797051,0.5276650035874862,0.7939729127928468,0.0012551954237587125,2935.292598089571,3033.3229786072184,0.9998714787506106,
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,lambda_ez,-0.09590652495551975,0.13510747573383886,-0.3765037872939462,0.16828373767470017,0.002682577724297292,2536.612521998036,3200.0,0.9998690006351701,
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,rho,-0.07018238028473506,0.09785554787503767,-0.2656950908109511,0.12146515025805327,0.0017518873083770031,3120.0285845866665,3200.0,0.9998530939177998,
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,sigma_e,0.6752773196324025,0.044022286351439746,0.5937908625038019,0.7670634965801061,0.000778211430060976,3200.0,3081.3635639167464,0.9999771125102498,
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,sigma_zeta,0.49958456509576993,0.03198390029207765,0.44264681243569065,0.5683589310090871,0.0005840185170972019,2999.2288938885245,2759.7366184007265,0.9999506830945905,
ces_inv_markup_tight_20260623_002003,ces,inv_markup,tight,unrestricted,log100_centered10,alpha,0.612911768627363,0.04842588953057324,0.5157520589485085,0.7076996737133064,0.0008959964145920869,2921.074747942124,3053.8537410001086,1.000043591605411,
ces_inv_markup_tight_20260623_002003,ces,inv_markup,tight,unrestricted,log100_centered10,kappa,0.05616034387089342,0.08132764662431596,-0.10224388344781121,0.21717503742384045,0.0015595417584075995,2719.458243464896,2832.7788513796177,0.9996937159773857,
ces_inv_markup_tight_20260623_002003,ces,inv_markup,tight,unrestricted,log100_centered10,phi_1,0.6736698650993429,0.05820514228667374,0.561295364136444,0.785480284017291,0.0010308157729641138,3188.310430473838,3069.6723558639337,1.0008257042937572,
ces_inv_markup_tight_20260623_002003,ces,inv_markup,tight,unrestricted,log100_centered10,lambda_ez,-0.06009614521933265,0.14354139114277464,-0.3376359415297351,0.2252252231231921,0.0026066415575246,3032.436197111168,2905.227918850246,0.9999283011325528,
