run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_output_gap_bn_end_2019_baseline_20260623_023555,ces,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6723515602936763,0.059249926577097774,0.5544897577928992,0.7851650857999531,1.0,0.0
ces_output_gap_bn_end_2019_baseline_20260623_023555,ces,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.059095515694493755,0.042419429986313775,-0.023746096326356388,0.1417853705469095,0.9159375,0.0840625
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6290450025673032,0.06212767259201074,0.507942362872484,0.7471605975659881,1.0,0.0
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.09058511666434431,0.047756218168370466,-0.0001590828681998312,0.18564454832438718,0.9746875,0.0253125
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.19333587803403765,0.30389778665961353,-0.32644221803097084,0.6560753756734183,0.663125,0.336875
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9126807386378263,0.11830956516183982,0.6630293335182634,1.1264492983356185,1.0,0.0
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.016077447276805833,0.10411500444213093,-0.190758114195053,0.2339058542731081,0.553125,0.446875
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6178565342698272,0.06273527060437029,0.49046251206522545,0.7379879376637066,1.0,0.0
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.08308468820003848,0.050554110727995566,-0.012782809950359492,0.18489682070580118,0.955,0.045
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.02012116908189108,0.016530877193903552,-0.05220614508981613,0.014311832139950015,0.108125,0.891875
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.09321342813064502,0.29858513715299795,-0.33283015808270666,0.5851330543653805,0.533125,0.466875
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.0025258873980379903,0.019768162339713326,-0.043183450505467985,0.03487194064914277,0.4559375,0.5440625
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9640856893881226,0.1213748207954439,0.732476487434291,1.2001060040462552,1.0,0.0
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.030166069753551527,0.11441441690133777,-0.2508488097099246,0.19178013724214185,0.4003125,0.5996875
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,1982-03-31,2012-12-31,alpha,share,0.6813262762165628,0.05643833410759137,0.5703495444357318,0.7658617029782009,1.0,0.0
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.10987415572798957,0.1758482567576315,-0.14492664051273044,0.47369780492230645,0.675,0.325
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.0002508399337862207,0.0009052114351830174,-0.0021950011658224754,0.001211614089592767,0.475,0.525
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.8077151410716674,0.0349011249102467,1.7401151517803424,1.866042361324861,1.0,0.0
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8117457842694595,0.034697002317829004,-0.8693631729953334,-0.7418643655389016,0.0,1.0
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6603531313031235,0.058964734685760224,0.5448895971584045,0.7740180214849319,1.0,0.0
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.04755836044431671,0.04616509085257853,-0.044461678393135674,0.13877793150569023,0.856875,0.143125
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.022753967890841907,0.017110077067401936,-0.05608297471311787,0.010207486724824626,0.0946875,0.9053125
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.741613462227015,0.17341781446755797,0.3805749925970846,1.0572850015612494,1.0,0.0
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.028986603115874116,0.14070528209691163,-0.31419195354279933,0.23526811427177205,0.426875,0.573125
