run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.745532888521431,0.04546185343568891,0.6550201331937918,0.8335386815591495,1.0,0.0
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03208994918909443,0.02441940168334782,-0.01526834655579968,0.0796425226170681,0.905625,0.094375
ces_output_gap_bn_end_2019_baseline_20260623_023555,ces,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6723515602936763,0.059249926577097774,0.5544897577928992,0.7851650857999531,1.0,0.0
ces_output_gap_bn_end_2019_baseline_20260623_023555,ces,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.059095515694493755,0.042419429986313775,-0.023746096326356388,0.1417853705469095,0.9159375,0.0840625
hsa_dynamic_output_gap_bn_core_end_2019_baseline_20260709_181413,hsa_dynamic,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.7691622924675633,0.04640712073210718,0.6791914076560008,0.8585056546915304,1.0,0.0
hsa_dynamic_output_gap_bn_core_end_2019_baseline_20260709_181413,hsa_dynamic,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03467562302107685,0.024254495227508225,-0.012878596140634524,0.08210087634667507,0.92625,0.07375
hsa_dynamic_output_gap_bn_core_end_2019_baseline_20260709_181413,hsa_dynamic,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.039253972941783025,0.02458194837041453,-0.08614433217991078,0.014604955758803988,0.06125,0.93875
hsa_dynamic_output_gap_bn_core_end_2019_baseline_20260709_181413,hsa_dynamic,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7679106978745267,0.05266907538277715,1.6565956831915565,1.8626155622064369,1.0,0.0
hsa_dynamic_output_gap_bn_core_end_2019_baseline_20260709_181413,hsa_dynamic,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7821853134683832,0.05104670285164512,-0.8748768676035517,-0.6765132081618135,0.0,1.0
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6290450025673032,0.06212767259201074,0.507942362872484,0.7471605975659881,1.0,0.0
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.09058511666434431,0.047756218168370466,-0.0001590828681998312,0.18564454832438718,0.9746875,0.0253125
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.19333587803403765,0.30389778665961353,-0.32644221803097084,0.6560753756734183,0.663125,0.336875
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9126807386378263,0.11830956516183982,0.6630293335182634,1.1264492983356185,1.0,0.0
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.016077447276805833,0.10411500444213093,-0.190758114195053,0.2339058542731081,0.553125,0.446875
hsa_full_output_gap_bn_core_end_2019_baseline_20260709_182843,hsa_full,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.8155099410960926,0.05139053018729354,0.7131857908727077,0.9158816502320802,1.0,0.0
hsa_full_output_gap_bn_core_end_2019_baseline_20260709_182843,hsa_full,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.047092065850196915,0.0251473450478077,-0.0023371956495670805,0.09415227779358779,0.969375,0.030625
hsa_full_output_gap_bn_core_end_2019_baseline_20260709_182843,hsa_full,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.011662065517756838,0.008822239280285745,-0.0053049436591830765,0.029224704291925824,0.9096875,0.0903125
hsa_full_output_gap_bn_core_end_2019_baseline_20260709_182843,hsa_full,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.022782893274677276,0.0421400386173082,-0.058931447317880095,0.10622105251595489,0.705625,0.294375
hsa_full_output_gap_bn_core_end_2019_baseline_20260709_182843,hsa_full,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.034214494553840215,0.015180827283769252,-0.06312533443380745,-0.0042968365299860065,0.0125,0.9875
hsa_full_output_gap_bn_core_end_2019_baseline_20260709_182843,hsa_full,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.77459382176545,0.05391801850332224,1.660412587577027,1.8707122869674164,1.0,0.0
hsa_full_output_gap_bn_core_end_2019_baseline_20260709_182843,hsa_full,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7918185494904563,0.05193428990537532,-0.8840467695331016,-0.6818670313609422,0.0,1.0
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6178565342698272,0.06273527060437029,0.49046251206522545,0.7379879376637066,1.0,0.0
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.08308468820003848,0.050554110727995566,-0.012782809950359492,0.18489682070580118,0.955,0.045
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.02012116908189108,0.016530877193903552,-0.05220614508981613,0.014311832139950015,0.108125,0.891875
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.09321342813064502,0.29858513715299795,-0.33283015808270666,0.5851330543653805,0.533125,0.466875
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.0025258873980379903,0.019768162339713326,-0.043183450505467985,0.03487194064914277,0.4559375,0.5440625
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9640856893881226,0.1213748207954439,0.732476487434291,1.2001060040462552,1.0,0.0
hsa_full_output_gap_bn_end_2019_baseline_20260623_032117,hsa_full,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.030166069753551527,0.11441441690133777,-0.2508488097099246,0.19178013724214185,0.4003125,0.5996875
hsa_steady_output_gap_bn_core_end_2019_baseline_20260709_175715,hsa_steady,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.7611200663942498,0.04820600672660765,0.6656102482220697,0.854888109495215,1.0,0.0
hsa_steady_output_gap_bn_core_end_2019_baseline_20260709_175715,hsa_steady,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.030966784206175248,0.02603931307210654,-0.020158375968181413,0.08166772869029615,0.883125,0.116875
hsa_steady_output_gap_bn_core_end_2019_baseline_20260709_175715,hsa_steady,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.01062454916418937,0.00981946063197023,-0.008817504407586208,0.03049480214251388,0.864375,0.135625
hsa_steady_output_gap_bn_core_end_2019_baseline_20260709_175715,hsa_steady,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.8063229175351854,0.04841467914228017,1.7097481045089833,1.8956529733121001,1.0,0.0
hsa_steady_output_gap_bn_core_end_2019_baseline_20260709_175715,hsa_steady,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8197560550971608,0.046831471683528816,-0.9055998062813072,-0.7280791899858708,0.0,1.0
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6813262762165628,0.05643833410759137,0.5703495444357318,0.7658617029782009,1.0,0.0
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.10987415572798957,0.1758482567576315,-0.14492664051273044,0.47369780492230645,0.675,0.325
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.0002508399337862207,0.0009052114351830174,-0.0021950011658224754,0.001211614089592767,0.475,0.525
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.8077151410716674,0.0349011249102467,1.7401151517803424,1.866042361324861,1.0,0.0
hsa_steady_output_gap_bn_end_2019_baseline_20260622_132131,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8117457842694595,0.034697002317829004,-0.8693631729953334,-0.7418643655389016,0.0,1.0
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6603531313031235,0.058964734685760224,0.5448895971584045,0.7740180214849319,1.0,0.0
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.04755836044431671,0.04616509085257853,-0.044461678393135674,0.13877793150569023,0.856875,0.143125
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.022753967890841907,0.017110077067401936,-0.05608297471311787,0.010207486724824626,0.0946875,0.9053125
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.741613462227015,0.17341781446755797,0.3805749925970846,1.0572850015612494,1.0,0.0
hsa_steady_output_gap_bn_end_2019_baseline_20260623_025003,hsa_steady,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.028986603115874116,0.14070528209691163,-0.31419195354279933,0.23526811427177205,0.426875,0.573125
