data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
output_gap_bn,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5342727105039937,0.287655561150255,0.7757493558233808
output_gap_bn,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.170691035343701,-0.0497512130282996,0.383900490865745
output_gap_bn,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5378067862861199,0.2990185774957964,0.7757736425664487
output_gap_bn,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.1669144925610245,-0.0538418514648044,0.3775635193010906
output_gap_bn,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.000822130308157,-0.0397663749879505,0.0398641392904486
output_gap_bn,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.550111860412555,0.3265735129248971,0.7676393670975857
output_gap_bn,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.1552679614361746,-0.0464379395243708,0.356058497383436
output_gap_bn,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta,0.1200481688445213,-0.3064705697569784,0.550764980883896
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5356105825326368,0.2868393275090826,0.7670691738339955
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.1694660937583589,-0.041314772583375,0.3902243980276289
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.0008720523991802,-0.0379521408072825,0.0414264388517638
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta_0,0.091151219572785,-0.2894513433285944,0.4820032976725509
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,gamma,0.0003796537461335,-0.0386030149300431,0.0387997515067006
