data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
output_gap_bn,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.7081917059495632,0.570563435643817,0.8421745394773531
output_gap_bn,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.0502598893755782,-0.0415744808320269,0.1419214365184755
output_gap_bn,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.7056941317282386,0.5727531394872775,0.8383771815194703
output_gap_bn,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.0448511051998251,-0.0538315224449698,0.1418922627132279
output_gap_bn,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,-0.0188312860572,-0.056999361334726,0.0206113798169803
output_gap_bn,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.624474827071158,0.4886089235815111,0.7657033707378236
output_gap_bn,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.0685928558027228,-0.0214609037467471,0.1616686416329638
output_gap_bn,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta,0.3838296092566946,-0.2853021091927828,0.7256061223045355
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6260537628874322,0.4768075992257538,0.7777811041039239
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.0588062297928927,-0.0453671074343237,0.1631956387975173
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,-0.0089077075405002,-0.0439376117008331,0.0254303427251923
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta_0,0.3228699006216307,0.0861664792862374,0.5825989438356602
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,gamma,-0.0054559909423948,-0.0431809209383511,0.0339499227889593
