run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_output_gap_bn_baseline_20260622_131732,ces,output_gap_bn,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6692136714203483,0.0691611544744983,0.543669586650651,0.7835331826591645,1.0,0.0
ces_output_gap_bn_baseline_20260622_131732,ces,output_gap_bn,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.06227667458106645,0.049335296388909426,-0.005924679878595865,0.1763827356136615,0.9,0.1
ces_output_gap_bn_baseline_20260702_071122,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6722478848512294,0.0583750521882526,0.5563615810472459,0.7846385609308255,1.0,0.0
ces_output_gap_bn_baseline_20260702_071122,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05862516366126078,0.04270004987668223,-0.024998506197154782,0.14404070449646755,0.91625,0.08375
ces_output_gap_bn_baseline_20260702_140212,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6722478848512294,0.0583750521882526,0.5563615810472459,0.7846385609308255,1.0,0.0
ces_output_gap_bn_baseline_20260702_140212,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05862516366126078,0.04270004987668223,-0.024998506197154782,0.14404070449646755,0.91625,0.08375
ces_output_gap_bn_core_baseline_20260709_162634,ces,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.74535933074366,0.045068399740478236,0.6522883270449128,0.8301402391117918,1.0,0.0
ces_output_gap_bn_core_baseline_20260709_162634,ces,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03172285402094013,0.024638150278458292,-0.017029349656504225,0.0808920938464345,0.90375,0.09625
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.74535933074366,0.045068399740478236,0.6522883270449128,0.8301402391117918,1.0,0.0
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03172285402094013,0.024638150278458292,-0.017029349656504225,0.0808920938464345,0.90375,0.09625
ces_output_gap_bn_full_baseline_20260623_023550,ces,output_gap_bn_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6722478848512294,0.0583750521882526,0.5563615810472459,0.7846385609308255,1.0,0.0
ces_output_gap_bn_full_baseline_20260623_023550,ces,output_gap_bn_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05862516366126078,0.04270004987668223,-0.024998506197154782,0.14404070449646755,0.91625,0.08375
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6417288070153944,0.05720888981434991,0.5407378701465779,0.7302139318812234,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.08121150220326542,0.040568210328920475,-0.0036598290783490315,0.15032842600419924,0.95,0.05
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.008900221570465047,0.003481833095518692,0.0011321684087000291,0.01438802060295853,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.862153551986514,0.03600718785355616,1.793727971115525,1.913046093808195,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8656950200688373,0.035811623377506985,-0.916677845297475,-0.7965863844418942,0.0,1.0
hsa_dynamic_output_gap_bn_baseline_20260702_071958,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6672315576079311,0.05957844047129855,0.5462750446830259,0.7837503193962674,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260702_071958,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05842165969645929,0.042329391974684945,-0.023472440272400953,0.13980438801070222,0.91375,0.08625
hsa_dynamic_output_gap_bn_baseline_20260702_071958,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.06928648274940846,0.0613749112959833,-0.1648749321720178,0.09392998467966988,0.1109375,0.8890625
hsa_dynamic_output_gap_bn_baseline_20260702_071958,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7717133257406623,0.05730945862030732,1.657759028425506,1.8798214238567394,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260702_071958,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7853314040123556,0.054994095411351085,-0.8869077534341246,-0.6745581235025349,0.0,1.0
hsa_dynamic_output_gap_bn_baseline_20260702_140847,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6672315576079311,0.05957844047129855,0.5462750446830259,0.7837503193962674,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260702_140847,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05842165969645929,0.042329391974684945,-0.023472440272400953,0.13980438801070222,0.91375,0.08625
hsa_dynamic_output_gap_bn_baseline_20260702_140847,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.06928648274940846,0.0613749112959833,-0.1648749321720178,0.09392998467966988,0.1109375,0.8890625
hsa_dynamic_output_gap_bn_baseline_20260702_140847,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7717133257406623,0.05730945862030732,1.657759028425506,1.8798214238567394,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260702_140847,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7853314040123556,0.054994095411351085,-0.8869077534341246,-0.6745581235025349,0.0,1.0
hsa_dynamic_output_gap_bn_core_baseline_20260709_163706,hsa_dynamic,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.7691954145025506,0.04645287462170774,0.6776751164241884,0.8599562251358887,1.0,0.0
hsa_dynamic_output_gap_bn_core_baseline_20260709_163706,hsa_dynamic,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03550423729662538,0.023489697574373664,-0.009908209433603744,0.0812635048093261,0.94125,0.05875
hsa_dynamic_output_gap_bn_core_baseline_20260709_163706,hsa_dynamic,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.03952143318638109,0.02391758292730818,-0.08655158886134079,0.009377433251600675,0.054375,0.945625
hsa_dynamic_output_gap_bn_core_baseline_20260709_163706,hsa_dynamic,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7663281007264013,0.05352256869802943,1.6587018065431591,1.8662733666434754,1.0,0.0
hsa_dynamic_output_gap_bn_core_baseline_20260709_163706,hsa_dynamic,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7806104766297891,0.05184815936549227,-0.8776723255884962,-0.6753604146523012,0.0,1.0
hsa_dynamic_output_gap_bn_core_full_baseline_20260709_180037,hsa_dynamic,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.7691954145025506,0.04645287462170774,0.6776751164241884,0.8599562251358887,1.0,0.0
hsa_dynamic_output_gap_bn_core_full_baseline_20260709_180037,hsa_dynamic,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03550423729662538,0.023489697574373664,-0.009908209433603744,0.0812635048093261,0.94125,0.05875
hsa_dynamic_output_gap_bn_core_full_baseline_20260709_180037,hsa_dynamic,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.03952143318638109,0.02391758292730818,-0.08655158886134079,0.009377433251600675,0.054375,0.945625
hsa_dynamic_output_gap_bn_core_full_baseline_20260709_180037,hsa_dynamic,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7663281007264013,0.05352256869802943,1.6587018065431591,1.8662733666434754,1.0,0.0
