run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_output_gap_bn_baseline_20260702_071122,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6722478848512294,0.0583750521882526,0.5563615810472459,0.7846385609308255,1.0,0.0
ces_output_gap_bn_baseline_20260702_140212,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6722478848512294,0.0583750521882526,0.5563615810472459,0.7846385609308255,1.0,0.0
ces_output_gap_bn_baseline_annual_q4_20260702_193026,ces,output_gap_bn,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6722478848512294,0.0583750521882526,0.5563615810472459,0.7846385609308255,1.0,0.0
ces_output_gap_bn_baseline_restricted_kappa_20260622_235858,ces,output_gap_bn,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.673952400052475,0.06041621150524189,0.5522163963277822,0.7875927317662264,1.0,0.0
ces_output_gap_bn_baseline_20260702_071122,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05862516366126078,0.04270004987668223,-0.024998506197154782,0.14404070449646755,0.91625,0.08375
ces_output_gap_bn_baseline_20260702_140212,ces,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05862516366126078,0.04270004987668223,-0.024998506197154782,0.14404070449646755,0.91625,0.08375
ces_output_gap_bn_baseline_annual_q4_20260702_193026,ces,output_gap_bn,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05862516366126078,0.04270004987668223,-0.024998506197154782,0.14404070449646755,0.91625,0.08375
ces_output_gap_bn_baseline_restricted_kappa_20260622_235858,ces,output_gap_bn,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.0674738969617655,0.03657700844802037,0.006923544519125853,0.1469016946518635,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260702_071958,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6672315576079311,0.05957844047129855,0.5462750446830259,0.7837503193962674,1.0,0.0
hsa_dynamic_output_gap_bn_baseline_20260702_140847,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6672315576079311,0.05957844047129855,0.5462750446830259,0.7837503193962674,1.0,0.0
