run,model,data_spec,prior_spec,constraint_spec,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_output_gap_bn_baseline_20260623_004943,ces,output_gap_bn,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,2.0245559767835
ces_output_gap_bn_baseline_restricted_kappa_20260622_235858,ces,output_gap_bn,baseline,restricted_kappa,kappa=0,inflation points per x point,0.1,0.2,1.1343088183088026
ces_output_gap_bn_end_2019_baseline_20260623_023555,ces,output_gap_bn_end_2019,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.8850291774353238
ces_output_gap_bn_exclude_covid_baseline_20260623_023553,ces,output_gap_bn_exclude_covid,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.9112883009926611
ces_output_gap_bn_full_baseline_20260623_023550,ces,output_gap_bn_full,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,2.0245559767835
ces_output_gap_bn_post_2008_baseline_20260623_023552,ces,output_gap_bn_post_2008,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,0.562215964672523
ces_output_gap_bn_pre_2008_baseline_20260623_023551,ces,output_gap_bn_pre_2008,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,2.766055292111223
ces_output_gap_bn_start_1988_baseline_20260623_023554,ces,output_gap_bn_start_1988,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.2030258210326816
hsa_dynamic_output_gap_bn_baseline_20260623_010000,hsa_dynamic,output_gap_bn,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.1406252459196915
hsa_dynamic_output_gap_bn_baseline_20260623_010000,hsa_dynamic,output_gap_bn,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.23523570377906428
hsa_dynamic_output_gap_bn_baseline_restricted_kappa_20260623_000227,hsa_dynamic,output_gap_bn,baseline,restricted_kappa,kappa=0,inflation points per x point,0.1,0.2,0.5745731673476422
hsa_dynamic_output_gap_bn_baseline_restricted_kappa_20260623_000227,hsa_dynamic,output_gap_bn,baseline,restricted_kappa,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.19348469198109444
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,0.7983386002711884
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.18137879736374277
hsa_dynamic_output_gap_bn_exclude_covid_baseline_20260623_030031,hsa_dynamic,output_gap_bn_exclude_covid,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,0.7597633411820558
hsa_dynamic_output_gap_bn_exclude_covid_baseline_20260623_030031,hsa_dynamic,output_gap_bn_exclude_covid,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.16350783952913622
hsa_dynamic_output_gap_bn_full_baseline_20260623_025331,hsa_dynamic,output_gap_bn_full,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.1406252459196915
hsa_dynamic_output_gap_bn_full_baseline_20260623_025331,hsa_dynamic,output_gap_bn_full,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.23523570377906428
hsa_dynamic_output_gap_bn_post_2008_baseline_20260623_025958,hsa_dynamic,output_gap_bn_post_2008,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,0.7105948921756505
hsa_dynamic_output_gap_bn_post_2008_baseline_20260623_025958,hsa_dynamic,output_gap_bn_post_2008,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.8790918277222459
hsa_dynamic_output_gap_bn_pre_2008_baseline_20260623_025701,hsa_dynamic,output_gap_bn_pre_2008,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.7255127060767814
hsa_dynamic_output_gap_bn_pre_2008_baseline_20260623_025701,hsa_dynamic,output_gap_bn_pre_2008,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.024513253619522935
hsa_dynamic_output_gap_bn_start_1988_baseline_20260623_030401,hsa_dynamic,output_gap_bn_start_1988,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,0.4173965385333968
hsa_dynamic_output_gap_bn_start_1988_baseline_20260623_030401,hsa_dynamic,output_gap_bn_start_1988,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.3488157980005896
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.9793909502111422
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.4392871968528136
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.07998224941025832
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,1.2420872918855141
