run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,coefficient,time_index,posterior_mean,ci_2.5,ci_97.5
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,0,0.025200425910614964,-0.08422916419166573,0.1380659488597761
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,5,0.028158041707640608,-0.07707722479591425,0.13589539093268213
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,11,0.03212647758253433,-0.06792003326108773,0.13396594562595315
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,16,0.03469134879371966,-0.06318203052237106,0.1346778675530412
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,21,0.038057270320504745,-0.05568953819121947,0.13530697408709844
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,27,0.04204763417105596,-0.04788390432397147,0.1339724183527792
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,32,0.04505533245656519,-0.043735115004669124,0.13372034299893237
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,37,0.04810658187158259,-0.037721594371084584,0.13500828677789067
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,43,0.05146483274945551,-0.033287036809405215,0.13628216656698644
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,48,0.05432880006794161,-0.029680736211517976,0.138710859634953
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,53,0.05727901111939503,-0.027671614418569492,0.14187141208776846
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,59,0.06080294769475518,-0.023585425571865312,0.14707446409919495
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,64,0.06416999096169476,-0.020560083357102656,0.15173008261088386
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,70,0.0680587761501381,-0.01762270412960989,0.15653205390846095
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,75,0.07134318349673631,-0.013892484359243673,0.1604293624429482
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,80,0.07465025037592964,-0.013198963461713188,0.1670788787793945
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,86,0.07820959017551296,-0.01118209132751678,0.17157600972215611
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,91,0.08133074367155473,-0.010992789867781497,0.17623601002236747
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,96,0.08415260994738968,-0.010939054916591707,0.18017716196199762
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,102,0.08795298691000308,-0.010014745157774065,0.18870539419393048
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,107,0.09095368804479158,-0.009037112847047574,0.19472394371443993
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,112,0.09382495896605665,-0.009006643081692295,0.20290021666955405
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,118,0.09755294486956607,-0.009938832347465872,0.20882370137478246
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,123,0.10063081705833471,-0.010609173831663137,0.21694858609641682
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,0,-0.08980540288930261,-0.19856817124318787,0.03541821267583319
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,5,-0.08322780066463671,-0.18874055972988635,0.03640543074726837
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,11,-0.07437004594637785,-0.17741043976358803,0.041244737847181065
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,16,-0.06859885156784017,-0.1693211561024296,0.046131120859523915
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,21,-0.06111145394717519,-0.1603212386055055,0.051943191555958404
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,27,-0.0522584859318685,-0.15085538913946653,0.05817683165823993
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,32,-0.04558908081235938,-0.14509307267606317,0.06353764664696808
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,37,-0.038799982832958595,-0.13987245521133218,0.07073309597833313
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,43,-0.031218898723721633,-0.13545326563589738,0.07904890818410205
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,48,-0.02487804854611965,-0.13143008548671536,0.08617906308668573
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,53,-0.018356139917972455,-0.12777711476777584,0.09511938199656117
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,59,-0.010547077543803256,-0.12354456057577934,0.10428433371376195
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,64,-0.003114170764819037,-0.1200267423864831,0.11479134041960609
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,70,0.005454112876155068,-0.11696453787019334,0.12779613062367112
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,75,0.012646000683709852,-0.1142306333805981,0.1366705761166381
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,80,0.019960198216977823,-0.11008591612208196,0.14924429596619018
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,86,0.027774711589502427,-0.10718250335256922,0.1626809791799994
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,91,0.03462094052279405,-0.10686229677761441,0.1748662757278699
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,96,0.04084464002280612,-0.1055607512454955,0.18486617362930508
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,102,0.04931058257859117,-0.10462117142746566,0.20229400074223644
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,107,0.05591186768445636,-0.10346887837869691,0.21661567860021114
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,112,0.062209652854253415,-0.10326547326486879,0.22793718609889405
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,118,0.07045478474959338,-0.10147167010289965,0.24436721646001505
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,theta_t,123,0.07727786922806174,-0.09978305153996828,0.25683092227969934
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,0,0.025200425910614964,-0.08422916419166573,0.1380659488597761
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,5,0.028158041707640608,-0.07707722479591425,0.13589539093268213
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,11,0.03212647758253433,-0.06792003326108773,0.13396594562595315
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,16,0.03469134879371966,-0.06318203052237106,0.1346778675530412
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,21,0.038057270320504745,-0.05568953819121947,0.13530697408709844
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,27,0.04204763417105596,-0.04788390432397147,0.1339724183527792
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,32,0.04505533245656519,-0.043735115004669124,0.13372034299893237
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,37,0.04810658187158259,-0.037721594371084584,0.13500828677789067
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,43,0.05146483274945551,-0.033287036809405215,0.13628216656698644
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,48,0.05432880006794161,-0.029680736211517976,0.138710859634953
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,53,0.05727901111939503,-0.027671614418569492,0.14187141208776846
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,59,0.06080294769475518,-0.023585425571865312,0.14707446409919495
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,64,0.06416999096169476,-0.020560083357102656,0.15173008261088386
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,quarterly_interpolated,kappa_t,70,0.0680587761501381,-0.01762270412960989,0.15653205390846095
