run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_output_gap_hp_baseline_annual_q4_20260702_194008,ces,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6698791634945499,0.052979536294220815,0.5662073716977606,0.7728994397599013,1.0,0.0
ces_output_gap_hp_baseline_annual_q4_20260702_194008,ces,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.13843303110621263,0.04539985654267094,0.04685168135785257,0.22692214727341842,0.99875,0.00125
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_194330,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6683461376204172,0.051980822481645005,0.5673473639035613,0.7685342359784744,1.0,0.0
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_194330,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.14255651335210798,0.044875887958388136,0.05516624785484481,0.22968971812854913,0.99875,0.00125
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_194330,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.053579356334266165,0.11728274881634607,-0.1572220472216758,0.32836801870852433,0.675625,0.324375
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_194330,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.2956538428578608,0.14461031087182616,0.016394941003783806,0.6583399686308744,0.976875,0.023125
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_194330,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7570520239493115,0.21527139035961484,-0.9572489381291639,-0.19982756829712586,0.00125,0.99875
hsa_full_output_gap_hp_baseline_annual_q4_20260702_194658,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6693118809463489,0.055523670032718846,0.5605013616728208,0.7788983265946866,1.0,0.0
hsa_full_output_gap_hp_baseline_annual_q4_20260702_194658,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.1400149235481657,0.04587430316025152,0.04828659983293201,0.22958067060616413,0.9984375,0.0015625
hsa_full_output_gap_hp_baseline_annual_q4_20260702_194658,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.005439275819146804,0.01665904573027244,-0.03810261794540319,0.027206253765277924,0.36875,0.63125
