parameter,ces,hsa_steady,hsa_dynamic,hsa_full
alpha,"0.670 [0.566, 0.773]","0.665 [0.559, 0.770]","0.668 [0.567, 0.769]","0.669 [0.561, 0.779]"
kappa,"0.138 [0.047, 0.227]",,"0.143 [0.055, 0.230]",
kappa_0,,"0.140 [0.049, 0.228]",,"0.140 [0.048, 0.230]"
delta,,"-0.005 [-0.038, 0.027]",,"-0.005 [-0.038, 0.027]"
theta,,,"0.054 [-0.157, 0.328]",
theta_0,,,,"0.049 [-0.141, 0.263]"
gamma,,,,"-0.001 [-0.039, 0.036]"
rho_1,,"0.279 [0.092, 0.463]","0.296 [0.016, 0.658]","0.279 [-0.122, 0.441]"
rho_2,,"-0.844 [-0.967, -0.380]","-0.757 [-0.957, -0.200]","-0.852 [-0.963, -0.442]"
phi_1,"0.896 [0.821, 0.972]","0.895 [0.823, 0.970]","0.898 [0.826, 0.966]","0.897 [0.820, 0.969]"
lambda_ez,"0.134 [-0.093, 0.361]","0.130 [-0.106, 0.371]",,"0.133 [-0.100, 0.360]"
n,,"-0.033 [-0.064, 0.000]","-0.030 [-0.062, 0.006]","-0.031 [-0.060, 0.001]"
