run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
ces_output_gap_hp_baseline_20260702_071124,ces,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13843303110621263,0.04685168135785257,0.22692214727341842,,,,,,,,,
ces_output_gap_hp_baseline_20260702_142102,ces,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13843303110621263,0.04685168135785257,0.22692214727341842,,,,,,,,,
ces_output_gap_hp_baseline_annual_q4_20260702_194008,ces,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,0.13843303110621263,0.04685168135785257,0.22692214727341842,,,,,,,,,
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.14045342990361617,0.05218480885597522,0.2274281463565052,,,,,,,,,
hsa_dynamic_output_gap_hp_baseline_20260702_072825,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13662254146623795,0.041781144382022045,0.23219529708184306,,,,,,,,,
hsa_dynamic_output_gap_hp_baseline_20260702_142735,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.13662254146623795,0.041781144382022045,0.23219529708184306,,,,,,,,,
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_194330,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,0.14255651335210798,0.05516624785484481,0.22968971812854913,,,,,,,,,
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.14135342471701015,0.04964813408822545,0.2378368328810874,,,,,,,,,
hsa_full_output_gap_hp_baseline_20260702_072500,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.1363408806169021,0.039628791824710574,0.22943243845273728,-0.0055839026181382445,-0.03716732484265972,0.026471970051824566,0.134733140351074,0.12051782162681636,0.14902692428691477
hsa_full_output_gap_hp_baseline_20260702_143426,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.1363408806169021,0.039628791824710574,0.22943243845273728,-0.0055839026181382445,-0.03716732484265972,0.026471970051824566,0.134733140351074,0.12051782162681636,0.14902692428691477
hsa_full_output_gap_hp_baseline_annual_q4_20260702_194658,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,,,,0.1400149235481657,0.04828659983293201,0.22958067060616413,-0.005439275819146804,-0.03810261794540319,0.027206253765277924,0.1389091894939726,0.1334279757043921,0.15403414332562754
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,,,,0.13883720949489786,0.03534148419512691,0.23931490319352228,-0.011231073012576365,-0.04687784520266268,0.02430767213439897,0.13983854571310564,0.14599409999608237,0.1625334114553849
hsa_full_output_gap_hp_baseline_restricted_kappa_t_20260623_141142,hsa_full,output_gap_hp,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,,,,0.11956307918397661,0.049440315680775455,0.1978797721651303,-0.014573400755616661,-0.03840418153757372,0.00429733345416203,0.11996924329620585,0.12916566873736685,0.15850790393225062
hsa_steady_output_gap_hp_baseline_20260702_072745,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.14209431430103167,0.048445049486440094,0.23284575846637223,-0.002411779740110727,-0.03116125581611038,0.025999192531077228,0.14174226891687738,0.13529902731562354,0.14835564993654035
hsa_steady_output_gap_hp_baseline_20260702_142104,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.14209431430103167,0.048445049486440094,0.23284575846637223,-0.002411779740110727,-0.03116125581611038,0.025999192531077228,0.14174226891687738,0.13529902731562354,0.14835564993654035
hsa_steady_output_gap_hp_baseline_annual_q4_20260702_194009,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,,,,0.1402085356444295,0.04936564308783955,0.22767603564823313,-0.0051462452212615115,-0.037590128555753145,0.026528691548828528,0.13912684372666786,0.1337800321054022,0.15353855913557835
hsa_steady_output_gap_hp_baseline_restricted_kappa_20260623_111202,hsa_steady,output_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,,,,0.13533965048350402,0.042038722339489076,0.2247513194477487,-0.01054362019021758,-0.04406506134927982,0.024343921098581994,0.13549671091589413,0.1351791822451066,0.163199525712706
hsa_steady_output_gap_hp_baseline_restricted_kappa_t_20260702_073328,hsa_steady,output_gap_hp,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,,,,0.1454667127350219,0.06133471187078701,0.24134200405615622,-0.002343286551073658,-0.030753932498981257,0.025748559269057357,0.14453591351546624,0.1379430214096933,0.1512447814431393
