run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,alpha,share,0.6698791634945499,0.052979536294220815,0.5662073716977606,0.7728994397599013
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,kappa,inflation points per x point,0.13843303110621263,0.04539985654267094,0.04685168135785257,0.22692214727341842
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,lambda_ez,shock loading,0.13352751152712589,0.11615284650539841,-0.09289435757937599,0.36138245714373884
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,phi_1,AR(1) coefficient,0.8962875753089473,0.038300417569298285,0.8205793664584512,0.9723854166302205
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,rho,reported physical units,0.122443251348564,0.10551137901153097,-0.0868519810771508,0.3217799160665805
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,sigma_e,reported physical units,0.6349960528407774,0.04102451692862482,0.5599461428622895,0.7175594218223472
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,sigma_zeta,reported physical units,0.5866174477747619,0.037690663021627144,0.5178719455295345,0.6676845016225135
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,alpha,share,0.6715205529317859,0.05301732146715937,0.5644356208586141,0.776387973793867
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,kappa,inflation points per x point,0.14045342990361617,0.044222608065435945,0.05218480885597522,0.2274281463565052
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,lambda_ez,shock loading,0.13116209786399324,0.11536625085855617,-0.09270040053955192,0.3579867418184704
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,phi_1,AR(1) coefficient,0.8961171789148747,0.03782890111336382,0.8213325557446362,0.9723827458794987
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,rho,reported physical units,0.12002886323874704,0.1041279954699898,-0.08772947517468926,0.3200403040926488
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,sigma_e,reported physical units,0.6363154916586032,0.04092559114851506,0.5635448248703122,0.723300734103695
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,sigma_zeta,reported physical units,0.5864712351463406,0.03748012750170895,0.5200590084443955,0.6673172058295402
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,Nbar,reported physical units,-0.01229616601844142,1.5532499366279995,-2.7100616935498265,2.5374002249911958
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,Nhat,reported physical units,0.01230631704121916,0.7789801260321915,-1.7123545596825083,1.5223683538445858
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,Sigma,reported physical units,0.049885406303206675,0.10783826073152174,0.0,0.36710802489993866
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,alpha,share,0.6366978265598194,0.05902424331187275,0.5185880548953778,0.7499055842570262
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,corr_e_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,corr_e_u,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,corr_e_zeta,reported physical units,0.0982316358279865,0.1073427491287636,-0.1085199092441409,0.30034579601871336
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,corr_u_eps,reported physical units,0.0,0.0,0.0,0.0
