run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_output_gap_hp_baseline_20260702_071124,ces,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6698791634945499,0.052979536294220815,0.5662073716977606,0.7728994397599013,1.0,0.0
ces_output_gap_hp_baseline_20260702_142102,ces,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6698791634945499,0.052979536294220815,0.5662073716977606,0.7728994397599013,1.0,0.0
ces_output_gap_hp_baseline_annual_q4_20260702_194008,ces,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6698791634945499,0.052979536294220815,0.5662073716977606,0.7728994397599013,1.0,0.0
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6715205529317859,0.05301732146715937,0.5644356208586141,0.776387973793867,1.0,0.0
ces_output_gap_hp_baseline_20260702_071124,ces,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.13843303110621263,0.04539985654267094,0.04685168135785257,0.22692214727341842,0.99875,0.00125
ces_output_gap_hp_baseline_20260702_142102,ces,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.13843303110621263,0.04539985654267094,0.04685168135785257,0.22692214727341842,0.99875,0.00125
ces_output_gap_hp_baseline_annual_q4_20260702_194008,ces,output_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.13843303110621263,0.04539985654267094,0.04685168135785257,0.22692214727341842,0.99875,0.00125
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.14045342990361617,0.044222608065435945,0.05218480885597522,0.2274281463565052,1.0,0.0
hsa_dynamic_output_gap_hp_baseline_20260702_072825,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.662308415953936,0.05269701509575323,0.5554628551151749,0.762716434870189,1.0,0.0
hsa_dynamic_output_gap_hp_baseline_20260702_142735,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.662308415953936,0.05269701509575323,0.5554628551151749,0.762716434870189,1.0,0.0
