run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_unemployment_gap_end_2019_baseline_20260623_032416,ces,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6468823811112844,0.052797980420168096,0.5417355443043578,0.7490101510706159,1.0,0.0
ces_unemployment_gap_end_2019_baseline_20260623_032416,ces,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.056033815849127644,0.03212654486106139,-0.007385306602471195,0.11927489173828651,0.9559375,0.0440625
hsa_dynamic_unemployment_gap_end_2019_baseline_20260623_035352,hsa_dynamic,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6005577203877154,0.059717880114030356,0.48357675228266955,0.7129287957141253,1.0,0.0
hsa_dynamic_unemployment_gap_end_2019_baseline_20260623_035352,hsa_dynamic,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.07589357177238476,0.05375432060807485,-0.022388002190870063,0.18695527978687224,0.934375,0.065625
hsa_dynamic_unemployment_gap_end_2019_baseline_20260623_035352,hsa_dynamic,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.1742908438762958,0.2641905015294353,-0.3031335509741859,0.6026131199599222,0.6909375,0.3090625
hsa_dynamic_unemployment_gap_end_2019_baseline_20260623_035352,hsa_dynamic,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9167597995368226,0.1301836332615755,0.6018814902368669,1.1428666999040995,1.0,0.0
hsa_dynamic_unemployment_gap_end_2019_baseline_20260623_035352,hsa_dynamic,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.008084252149461419,0.1043383332637343,-0.20032846744959334,0.22053821020280692,0.53,0.47
hsa_full_unemployment_gap_end_2019_baseline_20260623_040821,hsa_full,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.5858283046658744,0.05989009909180964,0.4682738957739393,0.6983049974940589,1.0,0.0
hsa_full_unemployment_gap_end_2019_baseline_20260623_040821,hsa_full,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.09705115693975921,0.045643960680353445,0.007813832536801511,0.1905000225954126,0.98375,0.01625
hsa_full_unemployment_gap_end_2019_baseline_20260623_040821,hsa_full,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.007806203284210052,0.02074057234557724,-0.03243032240163189,0.047606627188531,0.6446875,0.3553125
hsa_full_unemployment_gap_end_2019_baseline_20260623_040821,hsa_full,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.2787343966347171,0.15412673725223333,-0.06755438060232447,0.5703075701330699,0.963125,0.036875
hsa_full_unemployment_gap_end_2019_baseline_20260623_040821,hsa_full,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.0025400549349974253,0.020132663842944053,-0.041954058115332434,0.0379751535689421,0.4415625,0.5584375
