run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153555,ces,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,0.9018653674490784
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,2.2525454109274503
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,5.58231542236878
hsa_full_unemployment_gap_core_baseline_restricted_kappa_t_20260709_154305,hsa_full,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.022795038679594364
hsa_full_unemployment_gap_core_baseline_restricted_kappa_t_20260709_154305,hsa_full,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.08076189404557575
hsa_full_unemployment_gap_core_baseline_restricted_kappa_t_20260709_154305,hsa_full,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,1.7258695867374751
hsa_full_unemployment_gap_core_baseline_restricted_kappa_t_20260709_154305,hsa_full,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9376849196937835
hsa_steady_unemployment_gap_baseline_restricted_kappa_t_20260702_071705,hsa_steady,unemployment_gap,baseline,restricted_kappa_t,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.0023397604652382765
hsa_steady_unemployment_gap_baseline_restricted_kappa_t_20260702_071705,hsa_steady,unemployment_gap,baseline,restricted_kappa_t,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.10478110151801007
hsa_steady_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153557,hsa_steady,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.0020271317152218654
hsa_steady_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153557,hsa_steady,unemployment_gap_core,baseline,restricted_kappa_t,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.10029830491672015
