run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_unemployment_gap_baseline_annual_q4_20260702_132623,ces,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6427407392973773,0.0616084960605615,0.5494425929521101,0.7623373146493231,1.0,0.0
ces_unemployment_gap_baseline_annual_q4_20260702_132623,ces,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.057728926018441394,0.03694678411600675,0.006260536958697029,0.13981513409328578,0.975,0.025
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_132626,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6369981101217522,0.053937367934515396,0.5122324151415836,0.7115836714999696,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_132626,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.06127486209792321,0.036337619875934576,0.011207182346696602,0.14463892695220593,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_132626,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.06677329515421777,0.21590289296741694,-0.3705589651360335,0.4254461516560682,0.625,0.375
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_132626,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.5577590609679358,0.1602697198939261,0.2187144957618535,0.7769012712555529,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_132626,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.27167730731695905,0.20592904599982384,-0.7856592749527318,-0.011875991513205916,0.025,0.975
hsa_full_unemployment_gap_baseline_annual_q4_20260702_132629,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.647859912715462,0.053838942921540775,0.5658646029420116,0.7352529775805069,1.0,0.0
hsa_full_unemployment_gap_baseline_annual_q4_20260702_132629,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.09370591412676471,0.03194630694002638,0.034979354823247814,0.15076412013699747,1.0,0.0
hsa_full_unemployment_gap_baseline_annual_q4_20260702_132629,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.02667248499804987,0.01288831927577985,-0.006390835808557064,0.04555436619693598,0.95,0.05
hsa_full_unemployment_gap_baseline_annual_q4_20260702_132629,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.0648296598402073,0.16597184394826467,-0.2538704480670921,0.3584666475806497,0.675,0.325
hsa_full_unemployment_gap_baseline_annual_q4_20260702_132629,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,0.0022028382429560137,0.01919205863263586,-0.024409781737601003,0.04008803869315794,0.5,0.5
hsa_full_unemployment_gap_baseline_annual_q4_20260702_132629,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.3765861766872577,0.2809751140076661,-0.03641669561919271,0.7994574377188329,0.9,0.1
hsa_full_unemployment_gap_baseline_annual_q4_20260702_132629,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.4559202725816675,0.17224500354293185,-0.6831080481814898,-0.15576809238796518,0.0,1.0
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_132623,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6646465843099862,0.05312223420412562,0.5720996687633542,0.7566563982720428,1.0,0.0
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_132623,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.08882071879611847,0.02964645307392152,0.045726496539968416,0.13683381445223133,1.0,0.0
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_132623,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.025657767653811957,0.014627220138391486,0.0003522495230021582,0.047390399223852915,0.975,0.025
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_132623,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.36253015873623956,0.19988808956738813,0.026256913765424796,0.6356762303028813,0.975,0.025
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_132623,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.26957817235242676,0.14395492036770083,-0.4835673206166975,0.005572045975714172,0.075,0.925
