run,model,data_spec,prior_spec,constraint_spec,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_unemployment_gap_baseline_20260623_011912,ces,unemployment_gap,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.6328522679226485
ces_unemployment_gap_full_baseline_20260623_032411,ces,unemployment_gap_full,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.6328522679226485
hsa_dynamic_unemployment_gap_baseline_20260623_012932,hsa_dynamic,unemployment_gap,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.1461700597227944
hsa_dynamic_unemployment_gap_baseline_20260623_012932,hsa_dynamic,unemployment_gap,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.25009472114669273
hsa_dynamic_unemployment_gap_full_baseline_20260623_034032,hsa_dynamic,unemployment_gap_full,baseline,unrestricted,kappa=0,inflation points per x point,0.1,0.2,1.1461700597227944
hsa_dynamic_unemployment_gap_full_baseline_20260623_034032,hsa_dynamic,unemployment_gap_full,baseline,unrestricted,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.25009472114669273
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.3799438811711346
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.5267855176452522
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,1.3569698994699189
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.8911079771789792
hsa_full_unemployment_gap_full_baseline_20260623_035723,hsa_full,unemployment_gap_full,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.3799438811711346
hsa_full_unemployment_gap_full_baseline_20260623_035723,hsa_full,unemployment_gap_full,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.5267855176452522
hsa_full_unemployment_gap_full_baseline_20260623_035723,hsa_full,unemployment_gap_full,baseline,unrestricted,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,1.3569698994699189
hsa_full_unemployment_gap_full_baseline_20260623_035723,hsa_full,unemployment_gap_full,baseline,unrestricted,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.8911079771789792
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.4568088441412488
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.15890511899434326
hsa_steady_unemployment_gap_full_baseline_20260623_032417,hsa_steady,unemployment_gap_full,baseline,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.4568088441412488
hsa_steady_unemployment_gap_full_baseline_20260623_032417,hsa_steady,unemployment_gap_full,baseline,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.15890511899434326
