run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,log100_centered10,-249.01427723030648,1.0,,,,,-119.94133010620536,0.6354323778954629,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-230.4815927669841,-5.828862005139549,12.703822458182817,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,log100_centered10,-249.01427723030648,1.0,,,,,-119.94133010620536,0.6354323778954629,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-230.4815927669841,-5.828862005139549,12.703822458182817,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_unemployment_gap_core_baseline_20260709_155601,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,-240.77000857803705,3805.751112535298,,,,,-217.0688230442001,0.6472386638403236,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-331.71754084906615,-16.360370455940497,-107.30790272696959,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_unemployment_gap_core_full_baseline_20260709_165640,ces,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,-240.77000857803705,3805.751112535298,,,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-331.71754084906615,-16.360370455940497,-107.30790272696959,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_unemployment_gap_full_baseline_20260623_032411,ces,unemployment_gap_full,baseline,unrestricted,log100_centered10,-249.01427723030648,1.0,,,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-230.4815927669841,-5.828862005139549,12.703822458182817,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_baseline_20260702_074535,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,-127.17838967623621,8.1781234595973e+52,,2.0211766984769417,,,-119.59949667143658,0.6346530088488211,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-57.26683173989838,-24.218575672548273,45.69298226378956,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,-127.17838967623621,8.1781234595973e+52,,2.0211766984769417,,,-119.59949667143658,0.6346530088488211,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-57.26683173989838,-24.218575672548273,45.69298226378956,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,,,,0.7413519489391064,,,-118.755243469728,0.6304179381294477,"SDDR uses run-specific saved priors and physical-unit posterior draws. Chib unavailable: all the input array dimensions except for the concatenation axis must match exactly, but along dimension 0, the array at index 0 has size 124 and the array at index 2 has size 128",,,,,
hsa_dynamic_unemployment_gap_core_baseline_20260709_160643,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,log100_centered10,-118.6768803552378,4.025429717976907e+56,,5.58231542236878,,,-234.38473909488977,0.6462167159836294,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-176.0529317641514,-36.25038482480069,-93.6264362337143,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_core_full_baseline_20260709_171315,hsa_dynamic,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,-118.6768803552378,4.025429717976907e+56,,5.58231542236878,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-176.0529317641514,-36.25038482480069,-93.6264362337143,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_full_baseline_20260623_034032,hsa_dynamic,unemployment_gap_full,baseline,unrestricted,log100_centered10,-377.9666927753612,9.923788519593651e-57,,0.25009472114669273,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-250.91741453861425,-104.64598922116167,22.403289015585223,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_full_unemployment_gap_baseline_20260702_073855,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,-123.738607537038,2.5499523471154117e+54,0.11223242954240456,,2.1316911443288618,0.7415929093541497,-114.04139244152108,0.605225694505937,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-114.07370281305585,5.340804540360292,15.00570926434246,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_unemployment_gap_baseline_20260702_151204,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,-123.738607537038,2.5499523471154117e+54,0.11223242954240456,,2.1316911443288618,0.7415929093541497,-114.04139244152108,0.605225694505937,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-114.07370281305585,5.340804540360292,15.00570926434246,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_unemployment_gap_baseline_annual_q4_20260702_115649,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,-124.71687562707034,9.586843354079666e+53,0.13626033554227374,,2.3285081452054985,0.9719315294959988,-115.78759581588969,0.6146639518772182,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-115.8373427697877,5.891467614698474,14.771000471981107,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_unemployment_gap_core_baseline_20260709_161740,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,-112.48600623534989,1.9655075523069642e+59,0.056579933156622186,,3.692099486424014,0.8989409923267003,-225.8209661610323,0.632878490819114,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-224.8133233231495,-6.207850334856177,-118.53516742265577,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_unemployment_gap_core_full_baseline_20260709_173018,hsa_full,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,-112.48600623534989,1.9655075523069642e+59,0.056579933156622186,,3.692099486424014,0.8989409923267003,-225.8209661610323,0.632878490819114,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-224.8133233231495,-6.207850334856177,-118.53516742265577,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_unemployment_gap_full_baseline_20260623_035723,hsa_full,unemployment_gap_full,baseline,unrestricted,log100_centered10,-122.47368123004297,9.034051867528519e+54,0.5267855176452522,,1.3569698994699189,0.8911079771789792,-115.90131365544943,0.6157165790886202,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-117.14186844934599,6.570839621146952,11.902652401843927,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_steady_unemployment_gap_baseline_20260702_113759,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,-122.8026848052996,6.50126909565075e+54,0.04958707499848797,,,,-114.66812289650214,0.608499052572807,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-45.28154582124369,-27.696457399175422,49.8246815848805,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_unemployment_gap_baseline_20260702_145850,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,-122.8026848052996,6.50126909565075e+54,0.04958707499848797,,,,-114.66812289650214,0.608499052572807,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-45.28154582124369,-27.696457399175422,49.8246815848805,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_114922,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,,,0.09779904927022044,,,,-115.29315182520118,0.6123484934911794,"SDDR uses run-specific saved priors and physical-unit posterior draws. Chib unavailable: operands could not be broadcast together with shapes (124,) (128,) ",,,,,
hsa_steady_unemployment_gap_core_baseline_20260709_155606,hsa_steady,unemployment_gap_core,baseline,unrestricted,log100_centered10,-108.07412915891136,1.620050625003759e+61,0.01261330926256722,,,,-227.7821009226795,0.6361535313271898,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-161.2612164176829,-39.71313786363387,-92.90022512240542,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_unemployment_gap_core_full_baseline_20260709_165648,hsa_steady,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,-108.07412915891136,1.620050625003759e+61,0.01261330926256722,,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-161.2612164176829,-39.71313786363387,-92.90022512240542,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_unemployment_gap_full_baseline_20260623_032417,hsa_steady,unemployment_gap_full,baseline,unrestricted,log100_centered10,-356.50211055832426,2.0827019032544547e-47,0.15890511899434326,,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-286.409444973908,-40.89981523875613,29.19285034566006,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
