data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
unemployment_gap,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6804310942614216,0.5720391515947642,0.7827645604671991
unemployment_gap,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.1648995020759396,0.0865329087373497,0.2433371489120799
unemployment_gap,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6816570503051119,0.5760003710847427,0.7870936256461627
unemployment_gap,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.1618917900402257,0.0751390459951226,0.2481270032987068
unemployment_gap,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,0.0038962026418056,-0.0345178286090735,0.0428197248143013
unemployment_gap,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6326832416854656,0.5034191340439095,0.7530064776041807
unemployment_gap,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.1802884459937905,0.074516451365346,0.290392856747024
unemployment_gap,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta,0.2922577613286963,-0.1692085832616533,0.6799591342350985
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6139639916320274,0.4869122623107758,0.7424260281940499
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.1777725189490424,0.0523102435200477,0.3114860692557749
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,0.0014710354174716,-0.0345373763582349,0.0367154037397235
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta_0,0.2594829653474821,0.0187000636591908,0.5257871343114222
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,gamma,-4.996412881449488e-05,-0.039741498470988,0.0378866104772517
