run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_unemployment_gap_baseline_20260622_131739,ces,unemployment_gap,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6427407392973773,0.0616084960605615,0.5494425929521101,0.7623373146493231,1.0,0.0
ces_unemployment_gap_baseline_20260622_131739,ces,unemployment_gap,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.057728926018441394,0.03694678411600675,0.006260536958697029,0.13981513409328578,0.975,0.025
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964,1.0,0.0
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063,0.9584375,0.0415625
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964,1.0,0.0
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063,0.9584375,0.0415625
ces_unemployment_gap_core_baseline_20260709_155601,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.7546283320836287,0.04013243512620823,0.6753801023835222,0.831566468902704,1.0,0.0
ces_unemployment_gap_core_baseline_20260709_155601,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03938891347082609,0.016384668238768364,0.006705957839002623,0.0721754559831928,0.990625,0.009375
ces_unemployment_gap_core_full_baseline_20260709_165640,ces,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.7546283320836287,0.04013243512620823,0.6753801023835222,0.831566468902704,1.0,0.0
ces_unemployment_gap_core_full_baseline_20260709_165640,ces,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03938891347082609,0.016384668238768364,0.006705957839002623,0.0721754559831928,0.990625,0.009375
ces_unemployment_gap_full_baseline_20260623_032411,ces,unemployment_gap_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964,1.0,0.0
ces_unemployment_gap_full_baseline_20260623_032411,ces,unemployment_gap_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063,0.9584375,0.0415625
hsa_dynamic_unemployment_gap_baseline_20260622_131740,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.5916610621562409,0.04536674774508082,0.5213478585716058,0.6629310641039088,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260622_131740,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.09426693525484546,0.03478845865824435,0.044285269398497654,0.15987018744601375,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260622_131740,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.011689385138993483,0.00332512590249203,0.006255540410929559,0.01845630917483327,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260622_131740,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.8723350009864557,0.04182822127281326,1.7904039447682194,1.941225281487728,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260622_131740,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.875944714554435,0.04165996870546686,-0.945430719185191,-0.7923410719618244,0.0,1.0
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6382448713079123,0.05288474835934489,0.5307191450893396,0.7423598422203294,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05211811704510079,0.04142526709554936,-0.02308140687348584,0.14064791365249923,0.903125,0.096875
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.01914140546273647,0.08125293017015091,-0.14570069184930207,0.15258450293643386,0.339375,0.660625
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7815365574203372,0.05744917272351837,1.6647125692775064,1.8866047334690372,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7941169429844759,0.054784136064009774,-0.892993203009411,-0.6820400863648349,0.0,1.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,alpha,share,0.6454296639006208,0.05303431484390668,0.5476671633014204,0.7245916896848853,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,kappa,inflation points per x point,0.039857172420784535,0.03954328884333874,-0.040299230482059016,0.11064993163119227,0.85,0.15
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.059689429980339936,0.21194818577655739,-0.27677338826299364,0.47030273438951403,0.3,0.7
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,rho_1,AR(2) coefficient,0.6419435315149318,0.1151159445823415,0.4669368308696794,0.8364187878778835,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,rho_2,AR(2) coefficient,0.13841784363974652,0.18667902617820756,-0.18767732617046137,0.3936687406239434,0.8,0.2
