run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_unemployment_gap_core_weak_20260709_155603,ces,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.5,0.9552352949968687
ces_unemployment_gap_weak_20260623_011913,ces,unemployment_gap,weak,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.5,3.6151699820441316
hsa_dynamic_unemployment_gap_core_weak_20260709_161023,hsa_dynamic,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.5,5.346436469792071
hsa_dynamic_unemployment_gap_core_weak_20260709_161023,hsa_dynamic,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.0,0.5,12.92786902219199
hsa_dynamic_unemployment_gap_weak_20260623_013303,hsa_dynamic,unemployment_gap,weak,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.5,2.3785752860193674
hsa_dynamic_unemployment_gap_weak_20260623_013303,hsa_dynamic,unemployment_gap,weak,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.0,0.5,0.2695713680808939
hsa_full_unemployment_gap_core_weak_20260709_162037,hsa_full,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.5,0.9705145511592969
hsa_full_unemployment_gap_core_weak_20260709_162037,hsa_full,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.1,0.8713415862441897
hsa_full_unemployment_gap_core_weak_20260709_162037,hsa_full,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.0,0.5,7.516584656603522
hsa_full_unemployment_gap_core_weak_20260709_162037,hsa_full,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.1,2.181177067341945
hsa_full_unemployment_gap_weak_20260623_014256,hsa_full,unemployment_gap,weak,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.5,1.1080393360520617
hsa_full_unemployment_gap_weak_20260623_014256,hsa_full,unemployment_gap,weak,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.1,0.9789184005978718
hsa_full_unemployment_gap_weak_20260623_014256,hsa_full,unemployment_gap,weak,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.0,0.5,1.120790615971137
hsa_full_unemployment_gap_weak_20260623_014256,hsa_full,unemployment_gap,weak,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.1,0.8704882775267088
hsa_steady_unemployment_gap_core_weak_20260709_155938,hsa_steady,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.5,1.2534951427948209
hsa_steady_unemployment_gap_core_weak_20260709_155938,hsa_steady,unemployment_gap_core,weak,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.1,0.04427024317754589
hsa_steady_unemployment_gap_weak_20260702_074404,hsa_steady,unemployment_gap,weak,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.5,1.7120096246122078
hsa_steady_unemployment_gap_weak_20260702_074404,hsa_steady,unemployment_gap,weak,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.1,0.11828828121477124
