run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05560944809156388,-0.0075453006734305566,0.11996745083885063,,,,,,,,,
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05560944809156388,-0.0075453006734305566,0.11996745083885063,,,,,,,,,
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,0.05560944809156388,-0.0075453006734305566,0.11996745083885063,,,,,,,,,
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.0584822924897016,0.007381556651343492,0.12131942027097344,,,,,,,,,
ces_unemployment_gap_core_baseline_20260709_155601,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03938891347082609,0.006705957839002623,0.0721754559831928,,,,,,,,,
ces_unemployment_gap_core_baseline_annual_q4_20260709_145610,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,0.03938891347082609,0.006705957839002623,0.0721754559831928,,,,,,,,,
ces_unemployment_gap_core_baseline_restricted_kappa_20260709_151600,ces,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.03986532251462647,0.00818332897686523,0.07208620361343646,,,,,,,,,
ces_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153555,ces,unemployment_gap_core,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,0.03938891347082609,0.006705957839002623,0.0721754559831928,,,,,,,,,
ces_unemployment_gap_core_end_2019_baseline_20260709_165647,ces,unemployment_gap_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03959931033225685,0.007643530114400914,0.0713671974859445,,,,,,,,,
ces_unemployment_gap_core_exclude_covid_baseline_20260709_165645,ces,unemployment_gap_core_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03995217934196627,0.007688561768775091,0.07154994103474877,,,,,,,,,
ces_unemployment_gap_core_full_baseline_20260709_165640,ces,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03938891347082609,0.006705957839002623,0.0721754559831928,,,,,,,,,
ces_unemployment_gap_core_post_2008_baseline_20260709_165644,ces,unemployment_gap_core_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.007998984152219984,-0.06924940360718723,0.08594820062741111,,,,,,,,,
ces_unemployment_gap_core_pre_2008_baseline_20260709_165643,ces,unemployment_gap_core_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.09900863452556383,0.04526144966529406,0.1521124972461727,,,,,,,,,
ces_unemployment_gap_core_start_1988_baseline_20260709_165646,ces,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.011590255005420505,-0.020478397574656942,0.044553259349742864,,,,,,,,,
ces_unemployment_gap_end_2019_baseline_20260623_032416,ces,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.056033815849127644,-0.007385306602471195,0.11927489173828651,,,,,,,,,
ces_unemployment_gap_exclude_covid_baseline_20260623_032414,ces,unemployment_gap_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05671559237615065,-0.007999449586711819,0.11956826935231597,,,,,,,,,
