run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964,1.0,0.0
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964,1.0,0.0
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964,1.0,0.0
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6443729541538602,0.053081752316785524,0.5404595153020206,0.748572604350477,1.0,0.0
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063,0.9584375,0.0415625
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063,0.9584375,0.0415625
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063,0.9584375,0.0415625
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.0584822924897016,0.02934875462305343,0.007381556651343492,0.12131942027097344,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260702_074535,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6382448713079123,0.05288474835934489,0.5307191450893396,0.7423598422203294,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6382448713079123,0.05288474835934489,0.5307191450893396,0.7423598422203294,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,alpha,share,0.6454296639006208,0.05303431484390668,0.5476671633014204,0.7245916896848853,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6452276796607762,0.052070674553799885,0.546171681463213,0.7469212057969724,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.5925175367402106,0.05923012471506685,0.47299391759561016,0.7069596383232317,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260702_074535,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05211811704510079,0.04142526709554936,-0.02308140687348584,0.14064791365249923,0.903125,0.096875
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05211811704510079,0.04142526709554936,-0.02308140687348584,0.14064791365249923,0.903125,0.096875
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,kappa,inflation points per x point,0.039857172420784535,0.03954328884333874,-0.040299230482059016,0.11064993163119227,0.85,0.15
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05835914695839402,0.03243480510697096,-0.005593607369908784,0.12186950839860082,0.9653125,0.0346875
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.0866184128667742,0.04811739805852761,0.00846393487812295,0.18939164263154853,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260702_074535,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7815365574203372,0.05744917272351837,1.6647125692775064,1.8866047334690372,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7815365574203372,0.05744917272351837,1.6647125692775064,1.8866047334690372,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,rho_1,AR(2) coefficient,0.6419435315149318,0.1151159445823415,0.4669368308696794,0.8364187878778835,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.3126344134865168,0.16382673464747666,0.07847682836297905,0.7527525036007592,0.988125,0.011875
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9192519595349604,0.1250640294355758,0.6517245694420147,1.1473457280841637,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260702_074535,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7941169429844759,0.054784136064009774,-0.892993203009411,-0.6820400863648349,0.0,1.0
hsa_dynamic_unemployment_gap_baseline_20260702_150523,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7941169429844759,0.054784136064009774,-0.892993203009411,-0.6820400863648349,0.0,1.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2013-12-31,rho_2,AR(2) coefficient,0.13841784363974652,0.18667902617820756,-0.18767732617046137,0.3936687406239434,0.8,0.2
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7147970424794897,0.25536787657785204,-0.958177363597309,-0.08706313342717821,0.010625,0.989375
